"gene.no"	"genes"	"p.value"
"274"	274	"ENSRNOG00000000531"	0.842736398869135
"275"	275	"ENSRNOG00000000532"	0.361980100733096
"276"	276	"ENSRNOG00000000534"	0.559809240678284
"277"	277	"ENSRNOG00000000536"	0.27375140452887
"278"	278	"ENSRNOG00000000539"	0.142610792712194
"279"	279	"ENSRNOG00000000540"	0.217359207556983
"280"	280	"ENSRNOG00000000541"	0.281587998729376
"281"	281	"ENSRNOG00000000542"	0.0580654289853922
"282"	282	"ENSRNOG00000000543"	0.255974136096678
"283"	283	"ENSRNOG00000000545"	0.483784126639873
"284"	284	"ENSRNOG00000000546"	0.220959842814834
"285"	285	"ENSRNOG00000000547"	0.695207301365314
"286"	286	"ENSRNOG00000000549"	0.537449981791541
"287"	287	"ENSRNOG00000000551"	0.123144932764441
"288"	288	"ENSRNOG00000000552"	0.311797144648562
"289"	289	"ENSRNOG00000000554"	0.84480611953624
"290"	290	"ENSRNOG00000000555"	0.848871490317039
"291"	291	"ENSRNOG00000000556"	0.144859905500644
"292"	292	"ENSRNOG00000000557"	0.564064304252523
"293"	293	"ENSRNOG00000000558"	0.20507318509967
"294"	294	"ENSRNOG00000000559"	0.125205622217197
"295"	295	"ENSRNOG00000000560"	0.886207179377686
"296"	296	"ENSRNOG00000000561"	0.151420376746045
"297"	297	"ENSRNOG00000000562"	0.217469357157997
"298"	298	"ENSRNOG00000000563"	0.66002273398637
"299"	299	"ENSRNOG00000000564"	0.39233599236573
"300"	300	"ENSRNOG00000000565"	0.593179749849998
"301"	301	"ENSRNOG00000000566"	0.832425213158422
"302"	302	"ENSRNOG00000000567"	0.521865909771149
"303"	303	"ENSRNOG00000000568"	0.141682029402847
"304"	304	"ENSRNOG00000000569"	0.105302754976868
"305"	305	"ENSRNOG00000000571"	0.0877977223514873
"306"	306	"ENSRNOG00000000572"	0.566248186821231
"307"	307	"ENSRNOG00000000573"	0.608085185798594
"308"	308	"ENSRNOG00000000574"	0.59655370011741
"309"	309	"ENSRNOG00000000575"	0.647010863275287
"310"	310	"ENSRNOG00000000576"	0.597945764672149
"311"	311	"ENSRNOG00000000577"	0.993459329785344
"312"	312	"ENSRNOG00000000579"	0.376687019871547
"313"	313	"ENSRNOG00000000580"	0.881323850908758
"314"	314	"ENSRNOG00000000581"	0.636756464442252
"315"	315	"ENSRNOG00000000582"	0.85461768178956
"316"	316	"ENSRNOG00000000583"	0.713472758962947
"317"	317	"ENSRNOG00000000585"	0.0866701982205794
"318"	318	"ENSRNOG00000000586"	0.320680083303462
"319"	319	"ENSRNOG00000000587"	0.195643756058872
"320"	320	"ENSRNOG00000000588"	0.379021108113353
"321"	321	"ENSRNOG00000000589"	0.521690566400073
"322"	322	"ENSRNOG00000000590"	0.179010811900005
"323"	323	"ENSRNOG00000000593"	0.0404691783151284
"324"	324	"ENSRNOG00000000595"	0.821455985689588
"325"	325	"ENSRNOG00000000596"	0.356900603527998
"326"	326	"ENSRNOG00000000597"	0.604972801997039
"327"	327	"ENSRNOG00000000598"	0.348817615843902
"328"	328	"ENSRNOG00000000599"	0.523257248236279
"329"	329	"ENSRNOG00000000604"	0.746266374348976
"330"	330	"ENSRNOG00000000605"	0.494754833070512
"331"	331	"ENSRNOG00000000606"	0.338130036374535
"332"	332	"ENSRNOG00000000607"	NA
"333"	333	"ENSRNOG00000000609"	0.687500234537929
"334"	334	"ENSRNOG00000000610"	0.792169332177568
"335"	335	"ENSRNOG00000000611"	0.624586564569293
"336"	336	"ENSRNOG00000000613"	0.0544303152029081
"337"	337	"ENSRNOG00000000614"	0.251897485626203
"338"	338	"ENSRNOG00000000618"	0.176288729775587
"339"	339	"ENSRNOG00000000620"	0.832818709546548
"340"	340	"ENSRNOG00000000621"	0.0647051705842625
"341"	341	"ENSRNOG00000000622"	0.713223666524502
"342"	342	"ENSRNOG00000000626"	0.623559206112603
"343"	343	"ENSRNOG00000000630"	0.783738168827391
"344"	344	"ENSRNOG00000000632"	0.586341225718613
"345"	345	"ENSRNOG00000000633"	0.478494800279331
"346"	346	"ENSRNOG00000000634"	0.968468647774355
"347"	347	"ENSRNOG00000000635"	0.726185101707942
"348"	348	"ENSRNOG00000000636"	0.282342735796029
"349"	349	"ENSRNOG00000000638"	0.841015007926458
"350"	350	"ENSRNOG00000000639"	0.995369348544057
"351"	351	"ENSRNOG00000000640"	0.520711746956156
"352"	352	"ENSRNOG00000000641"	0.846342642742508
"353"	353	"ENSRNOG00000000645"	0.657035221625595
"354"	354	"ENSRNOG00000000648"	0.338279036648305
"355"	355	"ENSRNOG00000000650"	0.542966270877331
"356"	356	"ENSRNOG00000000651"	0.157689952700254
"357"	357	"ENSRNOG00000000653"	0.151437472049519
"358"	358	"ENSRNOG00000000655"	0.0355443009352029
"359"	359	"ENSRNOG00000000656"	0.473546259482396
"360"	360	"ENSRNOG00000000657"	0.784451032272574
"361"	361	"ENSRNOG00000000658"	0.140961856942945
"362"	362	"ENSRNOG00000000660"	0.540324872618611
"363"	363	"ENSRNOG00000000661"	0.33604242375422
"364"	364	"ENSRNOG00000000662"	0.683006595680826
"365"	365	"ENSRNOG00000000663"	0.689549181121357
"366"	366	"ENSRNOG00000000664"	0.19856174203177
"367"	367	"ENSRNOG00000000665"	0.698392409858387
"368"	368	"ENSRNOG00000000687"	0.233647520839268
"369"	369	"ENSRNOG00000000691"	0.715702603083492
"370"	370	"ENSRNOG00000000692"	0.752724317401612
"371"	371	"ENSRNOG00000000693"	0.155800995171578
"372"	372	"ENSRNOG00000000694"	0.227052928854098
"373"	373	"ENSRNOG00000000695"	0.630216474888435
"374"	374	"ENSRNOG00000000697"	0.0918217600355505
"375"	375	"ENSRNOG00000000699"	0.582352692523167
"376"	376	"ENSRNOG00000000700"	0.219167305863773
"377"	377	"ENSRNOG00000000701"	0.0656255559052583
"378"	378	"ENSRNOG00000000702"	0.657242949535478
"379"	379	"ENSRNOG00000000703"	0.214935133985527
"380"	380	"ENSRNOG00000000704"	0.016781843648541
"381"	381	"ENSRNOG00000000705"	0.571387728582582
"382"	382	"ENSRNOG00000000708"	0.699959291957016
"383"	383	"ENSRNOG00000000711"	0.0686317648763481
"384"	384	"ENSRNOG00000000713"	0.309283015464497
"385"	385	"ENSRNOG00000000715"	0.936734601294727
"386"	386	"ENSRNOG00000000716"	0.304564671086854
"387"	387	"ENSRNOG00000000718"	0.40941730465543
"388"	388	"ENSRNOG00000000720"	0.0523798355940059
"389"	389	"ENSRNOG00000000723"	0.0113438743075849
"390"	390	"ENSRNOG00000000724"	0.413165293737548
"391"	391	"ENSRNOG00000000726"	NA
"392"	392	"ENSRNOG00000000728"	0.109819229948804
"393"	393	"ENSRNOG00000000729"	0.778876711206033
"394"	394	"ENSRNOG00000000730"	0.73472946519104
"395"	395	"ENSRNOG00000000737"	NA
"396"	396	"ENSRNOG00000000740"	NA
"397"	397	"ENSRNOG00000000741"	0.606910227659734
"398"	398	"ENSRNOG00000000746"	NA
"399"	399	"ENSRNOG00000000747"	NA
"400"	400	"ENSRNOG00000000748"	0.376076062574662
"401"	401	"ENSRNOG00000000749"	NA
"402"	402	"ENSRNOG00000000759"	NA
"403"	403	"ENSRNOG00000000763"	0.101531632773089
"404"	404	"ENSRNOG00000000765"	0.58800715311761
"405"	405	"ENSRNOG00000000767"	0.0358746046698639
"406"	406	"ENSRNOG00000000768"	0.57416329000703
"407"	407	"ENSRNOG00000000769"	0.793808821020953
"408"	408	"ENSRNOG00000000774"	0.350161176319012
"409"	409	"ENSRNOG00000000775"	0.0249271509324613
"410"	410	"ENSRNOG00000000777"	0.212809448804104
"411"	411	"ENSRNOG00000000778"	0.58252755556608
"412"	412	"ENSRNOG00000000779"	0.0804842218673871
"413"	413	"ENSRNOG00000000780"	0.561897049542762
"414"	414	"ENSRNOG00000000781"	0.762042004663684
"415"	415	"ENSRNOG00000000782"	0.645618091125523
"416"	416	"ENSRNOG00000000783"	0.441099079741173
"417"	417	"ENSRNOG00000000785"	0.674812111988949
"418"	418	"ENSRNOG00000000786"	0.452857326797574
"419"	419	"ENSRNOG00000000787"	0.625535040009389
"420"	420	"ENSRNOG00000000790"	0.345403786222105
"421"	421	"ENSRNOG00000000795"	0.807421854302962
"422"	422	"ENSRNOG00000000796"	0.118594113025464
"423"	423	"ENSRNOG00000000798"	0.706711348125456
"424"	424	"ENSRNOG00000000799"	0.530639934523779
"425"	425	"ENSRNOG00000000800"	0.71921302267864
"426"	426	"ENSRNOG00000000801"	0.319226183701737
"427"	427	"ENSRNOG00000000802"	0.813584929529971
"428"	428	"ENSRNOG00000000803"	0.979917177421783
"429"	429	"ENSRNOG00000000804"	0.374185567441402
"430"	430	"ENSRNOG00000000805"	0.0875978080571564
"431"	431	"ENSRNOG00000000808"	0.0971713981390512
"432"	432	"ENSRNOG00000000809"	0.573186610939024
"433"	433	"ENSRNOG00000000811"	0.965359859632656
"434"	434	"ENSRNOG00000000812"	0.137612217607767
"435"	435	"ENSRNOG00000000814"	0.697316780351159
"436"	436	"ENSRNOG00000000815"	0.294622370107983
"437"	437	"ENSRNOG00000000816"	0.0952441328911095
"438"	438	"ENSRNOG00000000818"	0.734141535569715
"439"	439	"ENSRNOG00000000819"	0.721522660931371
"440"	440	"ENSRNOG00000000821"	0.268734284094199
"441"	441	"ENSRNOG00000000823"	0.155853479211833
"442"	442	"ENSRNOG00000000824"	0.207009684396541
"443"	443	"ENSRNOG00000000825"	0.382197533219302
"444"	444	"ENSRNOG00000000826"	0.339166295426588
"445"	445	"ENSRNOG00000000827"	0.145237296512807
"446"	446	"ENSRNOG00000000830"	0.0349345757186387
"447"	447	"ENSRNOG00000000831"	0.565881073097411
"448"	448	"ENSRNOG00000000833"	0.020720585061174
"449"	449	"ENSRNOG00000000836"	0.842929513306212
"450"	450	"ENSRNOG00000000837"	0.217107244842344
"451"	451	"ENSRNOG00000000838"	0.824629609218319
"452"	452	"ENSRNOG00000000839"	0.141190162938205
"453"	453	"ENSRNOG00000000840"	0.224468680607218
"454"	454	"ENSRNOG00000000841"	0.874684957814524
"455"	455	"ENSRNOG00000000842"	0.00463972420606233
"456"	456	"ENSRNOG00000000843"	0.132001833484659
"457"	457	"ENSRNOG00000000844"	0.659898610197483
"458"	458	"ENSRNOG00000000845"	0.109113362028559
"459"	459	"ENSRNOG00000000846"	NA
"460"	460	"ENSRNOG00000000847"	0.577237160085344
"461"	461	"ENSRNOG00000000848"	0.815914192076125
"462"	462	"ENSRNOG00000000850"	0.584412092932877
"463"	463	"ENSRNOG00000000851"	0.423874966227514
"464"	464	"ENSRNOG00000000852"	0.0265925175772973
"465"	465	"ENSRNOG00000000853"	0.0267446924352566
"466"	466	"ENSRNOG00000000854"	0.36777601259926
"467"	467	"ENSRNOG00000000855"	0.124665406406983
"468"	468	"ENSRNOG00000000857"	0.333542204784287
"469"	469	"ENSRNOG00000000858"	0.234978395893946
"470"	470	"ENSRNOG00000000859"	NA
"471"	471	"ENSRNOG00000000860"	0.370920404158933
"472"	472	"ENSRNOG00000000861"	0.981594340743674
"473"	473	"ENSRNOG00000000866"	0.293299445027013
"474"	474	"ENSRNOG00000000867"	0.0588289631994105
"475"	475	"ENSRNOG00000000868"	0.363494763448378
"476"	476	"ENSRNOG00000000869"	0.362928099061789
"477"	477	"ENSRNOG00000000871"	0.0520308602682845
"478"	478	"ENSRNOG00000000872"	0.387047900501813
"479"	479	"ENSRNOG00000000873"	0.0986754732661795
"480"	480	"ENSRNOG00000000875"	0.98083098446016
"481"	481	"ENSRNOG00000000878"	0.811989668571394
"482"	482	"ENSRNOG00000000879"	0.474664260820416
"483"	483	"ENSRNOG00000000881"	0.389907778778387
"484"	484	"ENSRNOG00000000885"	0.013729812309564
"485"	485	"ENSRNOG00000000886"	0.722010943663379
"486"	486	"ENSRNOG00000000887"	0.780868999009759
"487"	487	"ENSRNOG00000000888"	0.936857605616002
"488"	488	"ENSRNOG00000000889"	0.940753054058429
"489"	489	"ENSRNOG00000000891"	0.51087295734459
"490"	490	"ENSRNOG00000000893"	0.982706739196073
"491"	491	"ENSRNOG00000000894"	0.107681542445076
"492"	492	"ENSRNOG00000000895"	0.845808614264612
"493"	493	"ENSRNOG00000000896"	NA
"494"	494	"ENSRNOG00000000897"	0.749034477951895
"495"	495	"ENSRNOG00000000899"	0.745230853038255
"496"	496	"ENSRNOG00000000900"	0.722427428549416
"497"	497	"ENSRNOG00000000901"	0.716680367376854
"498"	498	"ENSRNOG00000000902"	0.265853501906321
"499"	499	"ENSRNOG00000000903"	0.0687565541846706
