gene	Female_mean	Male_mean	theta	prob	log2FC
ENSRNOT00000078616.1	0.333	15.807	-1.190	0.990	-5.567
ENSRNOT00000035577.6	0.500	3.000	-1.191	0.990	-2.585
ENSRNOT00000018794.8	3104.793	4182.433	-1.219	0.990	-0.430
ENSRNOT00000031851.4	0.500	5.532	-1.188	0.990	-3.468
ENSRNOT00000076159.1	0.182	14.144	-1.186	0.989	-6.280
ENSRNOT00000066517.2	0.205	6.333	-1.332	0.989	-4.948
ENSRNOT00000033968.7	27.380	0.500	1.574	0.989	5.775
ENSRNOT00000087897.1	6.986	0.002	2.108	0.989	11.720
ENSRNOT00000002376.8	0.333	21.889	-1.680	0.989	-6.037
ENSRNOT00000073435.2	0.333	21.889	-1.680	0.989	-6.037
ENSRNOT00000086460.1	0.500	6.175	-1.230	0.987	-3.627
ENSRNOT00000051619.3	4.667	0.500	1.768	0.987	3.222
ENSRNOT00000092719.1	0.500	17.315	-1.179	0.985	-5.114
ENSRNOT00000025290.5	0.333	8.015	-1.285	0.985	-4.588
ENSRNOT00000084157.1	0.500	3.667	-1.343	0.984	-2.874
ENSRNOT00000078080.1	0.500	4.529	-1.781	0.983	-3.179
ENSRNOT00000050551.5	0.500	5.334	-1.360	0.982	-3.415
ENSRNOT00000008319.8	0.335	12.472	-1.316	0.981	-5.220
ENSRNOT00000021996.4	0.644	19.304	-1.282	0.981	-4.905
ENSRNOT00000086729.1	0.333	15.047	-1.282	0.981	-5.496
ENSRNOT00000073993.1	0.500	4.124	-1.239	0.981	-3.044
ENSRNOT00000086342.1	0.500	8.996	-1.401	0.980	-4.169
ENSRNOT00000007638.7	0.500	5.968	-1.282	0.980	-3.577
ENSRNOT00000085588.1	64.283	0.963	1.799	0.977	6.060
ENSRNOT00000091885.1	0.500	16.738	-1.168	0.975	-5.065
ENSRNOT00000017383.5	0.500	6.780	-1.246	0.975	-3.761
ENSRNOT00000081447.1	0.383	20.162	-1.662	0.973	-5.718
ENSRNOT00000042331.4	18.065	0.500	1.734	0.973	5.175
ENSRNOT00000077579.1	0.500	16.491	-1.163	0.972	-5.044
ENSRNOT00000092314.1	0.339	19.676	-1.252	0.971	-5.859
ENSRNOT00000081588.1	0.333	14.105	-1.155	0.969	-5.403
ENSRNOT00000077313.1	8523.070	11075.167	-1.153	0.967	-0.378
ENSRNOT00000086164.1	0.167	14.257	-1.152	0.967	-6.419
ENSRNOT00000079011.1	0.500	15.937	-1.152	0.967	-4.994
ENSRNOT00000004780.4	0.500	6.644	-1.256	0.967	-3.732
ENSRNOT00000072538.2	17.530	0.500	1.183	0.965	5.132
ENSRNOT00000078402.1	5.533	0.500	1.187	0.965	3.468
ENSRNOT00000082344.1	0.500	6.615	-1.269	0.965	-3.726
ENSRNOT00000091468.1	15.565	0.171	1.178	0.964	6.511
ENSRNOT00000075020.1	0.500	6.173	-1.146	0.964	-3.626
ENSRNOT00000002636.7	15.877	0.333	1.191	0.964	5.574
ENSRNOT00000083593.1	10.094	0.450	1.564	0.963	4.487
ENSRNOT00000051497.5	0.500	16.156	-1.145	0.963	-5.014
ENSRNOT00000038729.2	18.024	0.500	1.192	0.963	5.172
ENSRNOT00000078703.1	0.500	4.833	-1.066	0.960	-3.273
ENSRNOT00000073353.1	0.333	10.508	-1.068	0.959	-4.978
ENSRNOT00000092019.1	8400.613	5742.963	1.700	0.959	0.549
ENSRNOT00000058675.3	0.667	6.624	-1.063	0.959	-3.313
ENSRNOT00000013366.7	18.908	0.061	1.722	0.958	8.272
ENSRNOT00000068395.3	8.846	0.500	1.313	0.958	4.145
ENSRNOT00000086929.1	6.332	0.333	1.166	0.958	4.248
ENSRNOT00000011552.4	0.500	4.189	-1.059	0.956	-3.067
ENSRNOT00000075842.1	0.333	10.193	-1.059	0.956	-4.934
ENSRNOT00000085414.1	17.787	0.220	1.468	0.955	6.338
ENSRNOT00000074325.1	8929.433	21858.300	-1.056	0.953	-1.292
ENSRNOT00000006128.5	0.500	6.477	-1.136	0.953	-3.695
ENSRNOT00000006339.6	0.167	9.561	-1.135	0.952	-5.842
ENSRNOT00000082614.1	5.236	0.500	1.162	0.952	3.388
ENSRNOT00000001133.5	2615.967	3587.390	-1.055	0.951	-0.456
ENSRNOT00000091297.1	349.519	1026.949	-1.134	0.950	-1.555
