chr,bin,start,end,mean_female,mean_male,female_cov,male_cov
chr1,478,40955407,40956049,0.715,0.52,19,80
chr1,479,41270055,41270811,0.577,0.373,32,82
chr1,480,41495296,41496116,0.702,0.501,20,83
chr1,482,41548676,41549049,0.712,0.48,15,39
chr1,483,41699319,41700218,0.403,0.621,16,39
chr1,484,41787626,41788000,0.696,0.904,13,38
chr1,485,41906070,41906397,0.564,0.785,39,93
chr1,486,41931816,41932526,0.519,0.74,16,16
chr1,487,42172313,42172698,0.705,0.916,16,34
chr1,488,42176212,42177166,0.805,0.594,29,55
chr1,489,42472008,42472815,0.86,0.64,16,76
chr1,490,42995719,42996634,0.968,0.749,4,25
chr1,492,43134440,43135177,0.534,0.756,55,97
chr1,493,43420879,43421575,0.815,0.607,15,57
chr1,494,43490878,43491201,0.625,0.826,18,63
chr1,495,43537538,43538167,0.721,0.527,12,22
chr1,496,44196629,44197455,0.61,0.841,42,85
chr1,497,44233742,44233816,0.586,0.369,15,21
chr1,498,44241031,44241340,0.699,0.502,15,46
chr1,499,44242986,44243919,0.558,0.786,19,78
chr1,500,44285916,44286395,0.465,0.675,16,49
chr1,501,44481550,44481762,0.44,0.643,4,9
chr1,503,44631559,44632498,0.827,0.597,25,58
chr1,504,44698250,44700314,0.495,0.736,41,98
chr1,506,44846796,44847914,0.964,0.761,11,12
chr1,507,45088389,45089603,0.556,0.768,38,44
chr1,509,45122881,45123453,0.494,0.743,41,73
chr1,510,45176180,45177232,0.506,0.288,11,53
chr1,513,45179326,45179493,0.412,0.212,20,30
chr1,514,45192762,45193478,0.641,0.884,14,22
chr1,515,45239695,45239847,0.509,0.316,15,27
chr1,516,45243602,45244899,0.5,0.73,16,50
chr1,517,45287059,45288092,0.785,0.548,15,44
chr1,520,45298642,45298864,0.424,0.694,5,18
chr1,522,45585335,45585888,0.85,0.639,9,20
chr1,523,45869976,45870651,0.994,0.773,17,46
chr1,524,45871216,45873631,0.96,0.735,42,115
chr1,526,46328034,46328855,0.228,0.034,21,34
chr1,527,46411091,46411224,0.932,0.734,4,18
chr1,528,46507197,46507490,0.683,0.417,14,28
chr1,531,46585058,46585540,0.676,0.447,15,49
chr1,532,46606503,46607284,0.877,0.671,28,81
chr1,534,46740094,46740125,0.503,0.276,16,47
chr1,536,46929388,46929457,0.081,0.335,10,16
chr1,537,46967815,46969104,0.638,0.404,30,85
chr1,538,47148851,47149058,0.881,0.665,44,83
chr1,539,47168847,47169256,0.744,0.538,39,69
chr1,540,47190815,47191904,0.507,0.751,65,117
chr1,543,47584306,47585783,0.589,0.884,46,107
chr1,544,47606226,47606553,0.868,0.668,11,53
chr1,545,47678951,47680716,0.551,0.818,21,48
chr1,546,47780042,47780510,0.283,0.017,13,23
chr1,547,47781207,47782133,0.488,0.227,19,44
chr1,548,47909896,47911008,0.643,0.424,36,90
chr1,549,47935257,47935999,0.846,0.631,20,54
chr1,552,48055784,48056134,0.788,0.555,19,43
chr1,553,48104632,48104924,0.546,0.757,10,27
chr1,555,48135023,48136208,0.6,0.393,60,174
chr1,556,48163982,48164277,0.512,0.717,16,22
chr1,558,48216687,48217044,0.8,0.605,19,52
chr1,559,48262312,48263024,0.619,0.857,25,34
chr1,560,48286353,48287330,0.63,0.919,45,132
chr1,561,48389133,48390646,0.715,0.937,19,52
chr1,563,49028690,49029054,0.456,0.661,11,52
chr1,564,49051946,49052312,0.628,0.847,18,38
chr1,565,49087742,49088105,0.92,0.685,17,86
chr1,566,49089022,49089827,0.895,0.639,37,73
chr1,567,49127261,49127855,0.747,0.527,27,58
chr1,568,49223849,49224744,0.706,0.495,15,61
chr1,569,49232273,49232974,0.552,0.763,16,60
chr1,570,49257935,49259468,0.927,0.602,19,34
chr1,572,49404877,49405163,0.78,0.564,9,18
chr1,573,49485356,49486147,0.603,0.821,30,71
chr1,574,49497721,49499435,0.825,0.557,37,64
chr1,575,49771672,49771966,0.52,0.723,6,21
chr1,576,49865721,49866331,0.815,0.591,21,41
chr1,577,49899815,49899966,0.472,0.257,9,36
chr1,578,49901436,49906081,0.532,0.776,116,175
chr1,581,49908237,49908717,0.478,0.719,35,44
chr1,582,50040132,50041253,0.342,0.562,12,15
chr1,583,50411803,50411906,0.754,0.562,13,26
chr1,584,50440554,50440772,0.776,0.575,18,15
chr1,585,50813076,50813311,0.378,0.612,18,31
chr1,586,50825597,50826096,0.451,0.693,12,34
chr1,587,51070923,51071662,0.379,0.6,19,43
chr1,588,51111819,51112398,0.839,0.641,14,50
chr1,589,51121151,51122730,0.918,0.719,20,77
chr1,590,52162531,52163062,0.744,0.518,42,104
chr1,591,52384951,52385528,0.685,0.489,14,53
chr1,592,52517503,52519138,0.827,0.583,40,92
chr1,594,52825683,52826222,0.794,0.593,14,51
chr1,596,53016713,53020140,0.891,0.65,70,155
chr1,598,53064896,53064906,0.582,0.378,5,23
chr1,599,53144759,53145655,0.791,0.556,8,34
chr1,600,53146271,53147162,0.875,0.645,17,33
chr1,602,53257462,53257603,0.521,0.318,10,36
chr1,603,53329641,53330096,0.834,0.615,41,140
chr1,605,53411462,53411830,0.562,0.769,8,48
chr1,607,53461412,53461826,0.601,0.838,15,51
chr1,608,53474127,53474430,0.623,0.828,10,33
chr1,610,53601324,53603342,0.438,0.195,34,78
chr1,611,53874464,53874552,0.897,0.702,10,19
chr1,612,53963153,53964415,0.622,0.345,67,141
chr1,614,54568459,54568985,0.697,0.9,20,41
chr1,616,54846558,54846778,0.511,0.723,37,51
chr1,617,55509782,55510012,0.925,0.61,11,20
chr1,619,56007548,56007755,0.411,0.632,10,48
chr1,621,56146533,56146684,0.912,0.705,8,8
chr1,622,56420102,56420255,0.512,0.737,14,35
chr1,623,56498753,56499655,0.652,0.415,52,108
chr1,624,56572987,56573402,0.759,0.523,26,74
chr1,628,56906553,56906830,0.745,0.55,40,66
chr1,629,56981680,56982238,0.485,0.709,12,47
chr1,631,57079216,57080077,0.933,0.595,21,11
chr1,632,57167567,57168499,0.874,0.656,19,48
chr1,633,57303269,57303978,0.639,0.417,38,91
chr1,634,57318311,57318562,0.895,0.683,15,37
chr1,635,57462811,57463663,0.746,0.523,16,35
chr1,636,57481875,57483251,0.356,0.69,17,37
chr1,637,57552036,57552306,0.59,0.9,14,26
chr1,638,57583831,57584034,0.579,0.374,37,83
chr1,639,57604859,57605208,0.795,0.594,14,35
chr1,640,57627349,57628497,0.676,0.887,11,36
chr1,641,57629452,57630094,0.696,0.905,9,23
chr1,642,57691168,57691210,0.735,0.395,18,61
chr1,644,57725936,57726312,0.425,0.641,15,50
chr1,646,57959156,57959463,0.763,0.562,23,51
chr1,647,57967729,57968088,0.599,0.401,24,39
chr1,648,58326220,58326832,0.539,0.743,28,47
chr1,649,58353029,58353511,0.881,0.629,13,37
chr1,650,58354272,58354950,0.907,0.668,14,22
chr1,651,58355477,58356016,0.877,0.666,7,13
chr1,652,58536877,58537118,0.735,0.502,13,23
chr1,653,58537701,58538802,0.713,0.432,19,65
chr1,654,58539676,58541197,0.741,0.441,16,62
chr1,655,58551325,58551700,0.825,0.603,6,10
chr1,657,58565266,58566006,0.958,0.61,19,27
chr1,658,58566789,58567211,0.958,0.747,12,23
chr1,659,58616775,58620065,0.783,0.518,65,163
chr1,661,58848339,58849038,0.518,0.3,13,21
chr1,665,59222744,59224618,0.719,0.455,54,102
chr1,666,59236044,59237189,0.812,0.589,18,24
chr1,667,59258051,59258257,0.63,0.363,5,10
chr1,670,59529339,59530391,0.503,0.274,23,61
chr1,674,59896040,59897681,0.732,0.528,12,34
chr1,676,60301487,60302082,0.55,0.824,7,21
chr1,684,60811363,60811491,0.413,0.695,7,14
chr1,685,60812015,60813904,0.387,0.71,29,44
chr1,687,60943982,60944778,0.843,0.599,4,15
chr1,688,61162183,61163292,0.738,0.516,31,68
chr1,690,61354427,61355351,0.809,0.528,21,88
chr1,691,61356635,61357485,0.861,0.651,11,35
chr1,692,61478274,61479025,0.658,0.87,8,14
chr1,693,61514658,61514692,0.773,0.576,20,23
chr1,696,61587470,61587736,0.741,0.496,28,68
chr1,697,61595927,61596521,0.502,0.714,36,96
chr1,698,62140179,62140346,0.887,0.657,11,23
chr1,699,62141001,62141657,0.908,0.653,11,9
chr1,700,62727576,62728351,0.696,0.499,31,74
chr1,702,62738652,62739659,0.902,0.677,25,98
chr1,703,62740372,62741520,0.867,0.633,36,69
chr1,704,62742120,62742242,0.832,0.594,8,16
chr1,705,62743620,62744170,0.775,0.54,9,33
chr1,711,63138306,63138800,0.861,0.534,18,33
chr1,718,63695992,63696131,0.887,0.684,8,31
chr1,727,64265094,64265578,0.649,0.41,7,13
chr1,729,64450249,64450760,0.489,0.727,21,33
chr1,730,64518504,64518852,0.523,0.327,13,48
chr1,732,64830811,64833157,0.41,0.147,104,236
chr1,733,64986796,64987069,0.653,0.432,10,17
chr1,739,65160826,65161596,0.684,0.948,4,22
chr1,746,65882022,65882709,0.299,0.593,30,30
chr1,749,66200620,66201568,0.318,0.086,19,42
chr1,750,66203288,66203629,0.407,0.155,5,16
chr1,752,66251756,66252238,0.704,0.913,10,19
chr1,753,66252781,66253295,0.569,0.799,11,28
chr1,755,66319056,66320710,0.661,0.892,25,42
chr1,758,67250821,67252139,0.499,0.295,48,109
chr1,761,67574638,67575823,0.728,0.472,80,142
chr1,771,69936954,69937175,0.739,0.547,8,21
chr1,773,70352425,70352749,0.611,0.822,17,45
chr1,774,70400767,70401489,0.766,0.566,13,22
chr1,775,71198288,71198559,0.409,0.615,7,21
chr1,777,71411951,71412355,0.613,0.287,10,22
chr1,778,71480996,71481792,0.499,0.113,47,117
chr1,779,71482692,71482908,0.409,0.074,14,38
chr1,780,71515218,71515822,0.644,0.417,16,66
chr1,782,71803852,71805092,0.458,0.718,48,45
chr1,784,71911305,71912554,0.762,0.554,29,79
chr1,787,72310630,72310774,0.635,0.902,10,24
chr1,789,72325470,72325847,0.743,0.548,70,183
chr1,792,72429845,72430798,0.829,0.614,64,161
chr1,793,72584839,72585933,0.432,0.198,23,41
chr1,794,72594692,72595221,0.314,0.099,21,42
chr1,801,72802651,72803270,0.83,0.589,9,32
chr1,802,72804700,72805125,0.574,0.31,11,24
chr1,803,73129787,73130870,0.529,0.323,24,25
chr1,805,73161047,73161586,0.763,0.367,23,26
chr1,806,73174468,73176584,0.414,0.166,20,43
chr1,808,73899167,73899203,0.922,0.711,6,23
chr1,811,74078527,74079343,0.827,0.598,7,15
chr1,812,74080272,74080434,0.793,0.541,8,12
chr1,814,74247272,74247688,0.768,0.566,13,26
chr1,819,74279500,74280180,0.35,0.643,12,23
chr1,820,74281923,74282856,0.257,0.63,24,44
chr1,822,74284077,74284387,0.277,0.643,14,0
chr1,823,74285889,74287061,0.428,0.69,42,52
chr1,825,74533298,74533384,0.409,0.612,6,21
chr1,828,74724712,74724774,0.407,0.103,5,8
chr1,829,74752643,74752774,0.28,0.086,11,16
chr1,831,74852043,74854204,0.622,0.851,32,34
chr1,833,75227397,75228925,0.427,0.729,8,6
chr1,843,75918857,75918949,0.512,0.761,5,20
chr1,845,75924134,75924458,0.63,0.872,4,1
chr1,846,76082012,76082140,0.708,0.378,5,12
chr1,847,76306361,76306910,0.802,0.554,12,24
chr1,848,76307996,76308476,0.81,0.549,10,25
chr1,849,76309131,76309446,0.816,0.588,8,14
chr1,856,77343269,77344333,0.642,0.373,37,74
chr1,863,78032058,78032661,0.363,0.673,11,37
chr1,864,78033185,78033379,0.463,0.705,7,23
chr1,867,78051836,78051938,0.618,0.846,7,29
chr1,868,78093805,78093837,0.265,0.072,12,19
chr1,869,78109097,78109355,0.605,0.849,4,10
chr1,871,78217733,78218038,0.357,0.133,36,142
chr1,872,78228006,78228297,0.654,0.924,7,10
chr1,873,78247780,78248487,0.943,0.677,8,36
chr1,875,78423385,78424140,0.824,0.61,13,0
chr1,876,78449242,78449805,0.765,0.566,15,35
chr1,878,78685611,78685975,0.505,0.731,7,20
chr1,879,78694339,78694760,0.544,0.748,13,17
chr1,881,78734519,78735079,0.322,0.556,35,89
chr1,883,78759358,78759697,0.312,0.538,4,14
chr1,884,78760465,78760775,0.334,0.564,14,17
chr1,892,79287421,79288123,0.653,0.865,13,22
chr1,894,79572282,79574232,0.818,0.581,15,43
chr1,895,79731548,79731712,0.779,0.578,15,51
chr1,896,79795809,79795968,0.365,0.688,10,27
chr1,897,79819383,79819946,0.614,0.855,17,45
chr1,901,79990380,79990682,0.312,0.566,13,28
chr1,903,80068877,80069226,0.924,0.696,11,10
chr1,904,80072177,80073361,0.593,0.875,45,55
chr1,907,80186021,80186552,0.546,0.798,43,105
chr1,908,80221979,80222419,0.396,0.16,48,156
chr1,909,80238142,80238207,0.318,0.126,7,34
chr1,910,80251322,80251763,0.586,0.365,22,43
chr1,911,80286473,80286688,0.43,0.648,20,51
chr1,912,80293905,80293987,0.877,0.67,22,48
chr1,918,80418215,80418856,0.553,0.767,15,34
chr1,919,80433100,80433604,0.515,0.743,20,37
chr1,920,80495088,80495142,0.853,0.659,8,29
chr1,923,80694308,80694346,0.626,0.834,7,14
chr1,925,80754642,80755082,0.826,0.62,11,19
chr1,926,80857086,80857656,0.546,0.303,15,51
chr1,927,80860961,80861013,0.558,0.76,9,26
chr1,928,80885334,80885631,0.506,0.708,23,23
