chr,bin,start,end,mean_female,mean_estradiol,female_cov,estradiol_cov,slope_clusters,num_cpg
chr1,64,4652469,4652471,0.055,0.361,4,15,0.0712451369714819,3
chr1,65,4756832,4756834,0.677,0.903,16,31,0.0937069616701796,6
chr1,66,5163476,5163478,0.368,0.6,19,49,0.159501412043391,5
chr1,71,5398532,5398534,0.65,0.894,7,17,0.00744810010200603,4
chr1,76,5532787,5532789,0.766,0.963,34,79,0.00137481044364107,9
chr1,77,5556372,5556374,0.535,0.732,11,25,0.0055144028248425,5
chr1,78,5556998,5557000,0.5,0.712,6,14,0.00385184980090469,4
chr1,80,5568108,5568110,0.523,0.724,11,16,0.0549943153197291,3
chr1,83,5786771,5786773,0.929,0.727,35,49,0.0350228680700823,12
chr1,84,5793555,5793557,0.915,0.711,9,11,0.0002425647690244,3
chr1,90,6161022,6161024,0.637,0.846,16,34,0.000765047305830158,5
chr1,92,6243994,6243996,0.873,0.638,3,7,0.00100690090452504,3
chr1,93,6244716,6244718,0.871,0.632,5,10,0.000503407928088784,4
chr1,95,6575776,6575778,0.429,0.73,8,17,0.00601488452555188,7
chr1,96,6577126,6577128,0.499,0.743,12,32,0.0103195020450937,5
chr1,97,6627171,6627173,0.344,0.55,23,42,0.173145968524573,9
chr1,98,6694904,6694906,0.281,0.716,20,38,0.0570707730826282,7
chr1,99,6697224,6697226,0.427,0.236,10,24,0.0173236239193985,4
chr1,100,6697611,6697613,0.723,0.513,11,19,0.209307500931548,4
chr1,101,6710134,6710136,0.764,0.557,4,7,0.00733630414882924,4
chr1,102,6710699,6710701,0.737,0.538,6,8,0.00248693123427435,3
chr1,103,6736771,6736773,0.654,0.415,53,142,0.0140462924038219,18
chr1,105,6803561,6803563,0.631,0.434,10,24,0.128543879377793,4
chr1,106,6815748,6815750,0.204,0.418,18,28,0.16772290733511,6
chr1,108,6913750,6913752,0.649,0.44,37,77,0.0311466067915567,10
chr1,110,6983517,6983519,0.273,0.484,27,36,0.0203742401670257,9
chr1,112,7028239,7028241,0.81,0.612,5,19,0.00430441662951531,3
chr1,113,7041425,7041427,0.517,0.798,17,27,0.0217858057391105,8
chr1,118,7146270,7146272,0.946,0.751,21,17,0.00021278699712135,5
chr1,120,7218973,7218975,0.719,0.47,183,389,0.062386168857624,52
chr1,121,7253446,7253448,0.522,0.784,51,63,0.0662681001485897,13
chr1,122,7264373,7264375,0.776,0.515,50,92,0.0845758621282966,15
chr1,124,7349805,7349807,0.745,0.527,59,119,0.00866116267529138,23
chr1,127,7454030,7454032,0.986,0.797,3,9,0.0035147020690024,3
chr1,128,7454569,7454571,0.995,0.799,46,55,0.000653170957263471,10
chr1,129,7478735,7478737,0.938,0.666,8,18,0.0160656591154438,4
chr1,130,7479250,7479252,0.976,0.618,5,15,0.000752403139874347,3
chr1,132,7492657,7492659,0.504,0.71,6,8,0.000739874329356072,3
chr1,133,7577344,7577346,0.824,0.629,9,12,0.0913377604272727,4
chr1,134,7584383,7584385,0.558,0.757,33,49,0.1493667011433,12
chr1,135,7587976,7587978,0.563,0.363,12,10,0.00535224865289752,4
chr1,136,7657606,7657608,0.916,0.648,8,16,0.0318669986658784,3
chr1,137,7658317,7658319,0.385,0.144,11,20,0.00869025854048472,3
chr1,140,7725431,7725433,0.011,0.534,6,20,0.00531696288710126,5
chr1,142,7842780,7842782,0.712,0.524,9,8,0.0132225482279928,3
chr1,144,8039499,8039501,0.489,0.698,23,20,0.155289900661115,3
chr1,146,8147839,8147841,0.66,0.384,42,84,0.0256208668115864,15
chr1,147,8217837,8217839,0.661,0.432,44,82,0.0127572518173071,12
chr1,148,8230051,8230053,0.602,0.825,11,24,0.000888584902607792,4
chr1,149,8304246,8304248,0.799,0.586,21,66,0.00155564409355091,10
chr1,151,8305684,8305686,0.901,0.706,10,13,0.000531788745819051,3
chr1,154,8397079,8397081,0.277,0.061,18,20,0.0213985034973024,4
chr1,156,8697790,8697792,0.658,0.855,32,28,0.000487613820187138,4
chr1,157,8876889,8876891,0.162,0.363,17,22,0.0714602710927902,3
chr1,164,9512405,9512407,0.543,0.349,36,57,0.00684988164575223,13
chr1,167,9769455,9769457,0.557,0.311,22,40,0.0292682595172649,9
chr1,171,9835740,9835742,0.849,0.612,10,20,0.00337948000984822,7
chr1,172,9837595,9837597,0.842,0.589,8,12,0.000299603106939328,5
chr1,179,10328552,10328554,0.847,0.662,15,21,0.00474276785085748,5
chr1,181,10445605,10445607,0.562,0.771,31,28,0.00928873584723677,10
chr1,191,10899879,10899881,0.844,0.66,8,22,0.00831653648817765,5
chr1,194,11028020,11028022,0.958,0.766,8,18,0.00211449026717425,3
chr1,195,11028665,11028667,0.946,0.725,17,35,0.0102301577144142,7
chr1,196,11030513,11030515,0.914,0.667,7,17,0.00263077095803821,5
chr1,197,11031519,11031521,0.896,0.684,13,27,0.00483654247392107,6
chr1,199,11303402,11303404,0.644,0.883,13,17,0.000303547550888239,5
chr1,201,11304706,11304708,0.671,0.882,9,22,0.000443297417874633,4
chr1,203,11657793,11657795,0.863,0.539,37,62,0.00101577733921576,12
chr1,204,11659827,11659829,0.918,0.717,6,21,0.0116195853917427,4
chr1,205,11678550,11678552,0.932,0.694,14,17,0.0160816967848868,9
chr1,206,11705123,11705125,0.55,0.762,15,62,0.00963591058136448,9
chr1,207,11705725,11705727,0.588,0.802,11,17,0.0217351909926377,4
chr1,208,11906716,11906718,0.494,0.718,366,523,0.0023894856037463,8
chr1,209,11907462,11907464,0.17,0.434,1345,823,0.223559350711554,25
chr1,210,11910018,11910020,0.377,0.634,4690,6142,0.0242742003047135,103
chr1,211,11912218,11912220,0.494,0.706,276,414,0.000553567783473874,7
chr1,212,11913014,11913016,0.424,0.68,628,778,0.0235234045808472,20
chr1,215,11926366,11926368,0.746,0.998,5,5,1.66274975951231e-05,5
chr1,217,11973406,11973408,0.831,0.581,8,35,0.000526820118828653,7
chr1,224,12615097,12615099,0.905,0.718,6,8,0.000978435771341157,3
chr1,225,12615461,12615463,0.893,0.702,5,5,0.000907396452308085,3
chr1,226,12626508,12626510,0.775,0.537,6,11,0.0089117890073146,3
chr1,227,12627111,12627113,0.715,0.406,19,44,0.0275847294377771,13
chr1,228,12756097,12756099,0.749,0.512,60,88,0.117893140186587,17
chr1,229,12856568,12856570,0.794,0.545,24,30,0.0271372683216438,10
chr1,231,12940905,12940907,0.465,0.679,14,33,0.124685039542159,6
chr1,232,12985004,12985006,0.516,0.764,36,33,0.391583476994433,11
chr1,234,13084969,13084971,0.356,0.61,32,33,0.0307931231210542,11
chr1,235,13086912,13086914,0.533,0.771,21,35,0.0780277527996839,7
chr1,236,13186613,13186615,0.71,0.91,25,24,0.000436466634394561,8
chr1,237,13223541,13223543,0.793,0.571,7,22,0.0716265380445178,3
chr1,241,13387469,13387471,0.597,0.82,8,15,0.0187704089166709,4
chr1,242,13520324,13520326,0.55,0.814,20,44,0.000901568020670984,11
chr1,243,13546688,13546690,0.573,0.374,30,74,0.194651274330916,11
chr1,244,13551365,13551367,0.524,0.733,20,22,0.108575914140152,7
chr1,245,13568452,13568454,0.373,0.644,10,20,0.170933152852558,3
chr1,246,13584857,13584859,0.502,0.704,28,32,0.0308326741834989,5
chr1,247,13607824,13607826,0.885,0.686,31,59,0.028271147176431,12
chr1,248,13620226,13620228,0.695,0.917,23,39,0.0860365066140323,6
chr1,250,13697919,13697921,0.736,0.525,38,63,0.216264162202298,10
chr1,255,14243439,14243441,0.787,0.577,41,82,0.0168958003257668,14
chr1,256,14274463,14274465,0.796,0.558,20,52,0.0840463657988348,9
chr1,257,14286517,14286519,0.311,0.542,27,48,0.0548376888022578,10
chr1,258,14288512,14288514,0.959,0.698,63,86,0.00129122503679957,15
chr1,260,14748259,14748261,0.759,0.553,29,37,0.0533168963147106,5
chr1,262,14783921,14783923,0.461,0.672,13,13,0.00174422585650791,5
chr1,264,14810095,14810097,0.834,0.645,33,32,0.00591015294548913,7
chr1,265,14833471,14833473,0.368,0.585,17,27,0.130067988299993,6
chr1,266,14850692,14850694,0.872,0.608,50,85,0.038060326037955,20
chr1,268,14882400,14882402,0.472,0.288,33,55,0.00990648366912172,6
chr1,269,14935291,14935293,0.274,0.476,7,8,0.0410925665802707,4
chr1,270,14962828,14962830,0.514,0.261,40,55,0.0130934495228024,17
chr1,271,15159402,15159404,0.604,0.837,18,44,0.217492670991233,7
chr1,272,15180997,15180999,0.568,0.36,11,18,0.0479118181821664,5
chr1,276,15261858,15261860,0.399,0.707,16,38,0.265663709691545,7
chr1,278,15303309,15303311,0.24,0.46,40,42,0.322495482640325,9
chr1,280,15410738,15410740,0.513,0.739,5,19,0.124640171077094,3
chr1,282,15654215,15654217,0.403,0.644,28,40,0.371429408006592,10
chr1,283,15667555,15667557,0.862,0.676,11,19,0.000422679176036223,5
chr1,284,15691758,15691760,0.677,0.472,106,197,0.0546966076502556,19
chr1,287,16007140,16007142,0.564,0.803,23,56,0.00588164426412885,8
chr1,288,16076103,16076105,0.638,0.872,18,30,0.00930691914622506,6
chr1,289,16089287,16089289,0.508,0.713,3,13,0.052699250372569,3
chr1,290,16148278,16148280,0.435,0.657,19,49,0.0938806849380732,7
chr1,291,16174305,16174307,0.828,0.621,37,54,0.0656751341808838,12
chr1,293,16256423,16256425,0.89,0.693,6,4,0.000252728583744477,4
chr1,295,16424763,16424765,0.523,0.742,32,58,0.0199109887121318,13
chr1,296,16469875,16469877,0.938,0.753,6,10,0.000552210113034746,3
chr1,300,17118180,17118182,0.614,0.899,14,30,0.0096491974173557,7
chr1,303,17506070,17506072,0.927,0.71,10,21,0.00756615289317142,7
chr1,304,17506595,17506597,0.911,0.648,18,57,0.00902198224116357,9
chr1,306,17738187,17738189,0.629,0.892,15,17,0.000615926804749423,5
chr1,307,17785850,17785852,0.699,0.918,14,29,0.00268416887105305,5
chr1,308,17842417,17842419,0.697,0.902,13,22,0.0773191320761416,6
chr1,309,17974402,17974404,0.783,0.589,21,22,0.0126834068427167,6
chr1,310,17974822,17974824,0.745,0.56,15,8,0.000691800165365963,4
chr1,311,17982171,17982173,0.722,0.511,12,22,0.0135024017453396,5
chr1,312,17990976,17990978,0.599,0.824,22,15,0.0277915021156199,4
chr1,314,18130344,18130346,0.405,0.628,14,25,0.0104751126267757,7
chr1,317,18519093,18519095,0.805,0.573,16,10,0.000849170297901547,4
chr1,318,18520110,18520112,0.811,0.567,17,14,0.00240156114349244,3
chr1,320,18634504,18634506,0.826,0.631,9,9,0.000814285773583778,3
chr1,321,18635295,18635297,0.838,0.613,23,34,0.00819563669675449,9
chr1,322,18961233,18961235,0.49,0.708,38,42,0.0730601774698358,8
chr1,323,19134118,19134120,0.935,0.558,7,12,0.0176485877519106,3
chr1,326,19238025,19238027,0.661,0.454,18,54,0.0567123307736553,8
chr1,327,19239700,19239702,0.738,0.939,6,15,0.00453343870154566,3
chr1,328,19256547,19256549,0.848,0.64,12,21,0.00816888867614352,6
chr1,329,19331989,19331991,0.807,0.59,28,46,0.0197818023569992,9
chr1,330,19336886,19336888,0.466,0.798,45,61,0.00506295601545037,11
chr1,331,19338140,19338142,0.44,0.824,5,14,0.00755270032248578,4
chr1,338,20001503,20001505,0.601,0.854,41,43,0.146350516498014,10
chr1,342,20419934,20419936,0.603,0.871,27,37,0.0397753755670427,11
chr1,343,20421612,20421614,0.601,0.852,8,7,0.00764633234648815,5
chr1,344,20708176,20708178,0.576,0.791,9,11,0.0220677922560499,3
chr1,346,21065953,21065955,0.825,0.539,12,12,0.0733520694842603,4
chr1,347,21071151,21071153,0.936,0.683,16,28,0.0123882697439546,5
chr1,348,21129720,21129722,0.331,0.574,44,64,0.338055055439672,14
chr1,351,21314987,21314989,0.841,0.638,5,4,0.0424669398915247,3
chr1,353,21325439,21325441,0.152,0.371,11,12,0.00185713492366588,4
chr1,355,21401750,21401752,0.593,0.801,11,23,0.00430838771953146,5
chr1,356,21427994,21427996,0.71,0.917,16,29,0.00234680167974222,5
chr1,357,21429901,21429903,0.686,0.93,11,42,0.00211928291703634,7
chr1,358,21527396,21527398,0.558,0.752,59,51,0.0257167143668769,5
chr1,359,21663679,21663681,0.823,0.604,31,70,0.0123013651928471,11
chr1,360,21679661,21679663,0.434,0.67,10,27,0.0419141131692776,4
chr1,363,21801871,21801873,0.907,0.701,16,24,0.00805270289275906,5
chr1,364,21843216,21843218,0.692,0.913,10,17,0.00473432276561658,3
chr1,365,21843998,21844000,0.689,0.896,19,30,0.00353487185185286,4
chr1,366,21855568,21855570,0.883,0.644,4,7,0.0308038350605687,3
chr1,367,21877111,21877113,0.8,0.588,28,56,0.0170160674643726,6
chr1,370,22268593,22268595,0.724,0.521,26,34,0.00633304682462033,9
chr1,373,22297907,22297909,0.568,0.372,25,31,0.0990371719536203,9
chr1,374,22533270,22533272,0.659,0.883,9,5,0.00129428421631728,3
chr1,375,22533692,22533694,0.677,0.887,29,44,0.000364009952580235,7
chr1,376,22655210,22655212,0.912,0.728,20,52,0.0139146661920952,7
chr1,378,22756402,22756404,0.674,0.423,34,86,0.380134931759409,8
chr1,379,22781076,22781078,0.847,0.654,7,27,0.00347374971017422,5
chr1,381,22869656,22869658,0.66,0.874,49,58,0.00870023587793733,12
chr1,382,23177391,23177393,0.576,0.812,13,25,0.00229917134426794,8
chr1,383,23178488,23178490,0.623,0.831,15,17,0.018421064909183,8
chr1,384,23636625,23636627,0.489,0.721,10,19,0.0407752402895996,6
chr1,387,23702759,23702761,0.747,0.966,13,19,0.00101026443435814,6
chr1,389,23914502,23914504,0.51,0.769,27,64,0.164890921704325,9
chr1,390,23981537,23981539,0.909,0.677,4,7,0.00783570590801208,3
chr1,392,24055215,24055217,0.42,0.659,18,34,0.249266864936509,7
chr1,393,24079230,24079232,0.42,0.162,17,20,0.157111159603204,4
chr1,394,24143328,24143330,0.556,0.768,14,16,0.0387184001220445,8
chr1,395,24144083,24144085,0.691,0.914,14,23,0.0323986510191495,7
chr1,396,24161671,24161673,0.863,0.639,18,18,0.0478201383906965,9
chr1,397,24259546,24259548,0.532,0.774,18,32,0.172648101983768,7
chr1,400,24414837,24414839,0.766,0.394,40,67,0.0354799467296578,11
chr1,403,24731359,24731361,0.303,0.563,95,162,0.0144735780940374,30
chr1,404,24733438,24733440,0.465,0.667,6,16,0.032910194342628,3
chr1,414,26982371,26982373,0.473,0.928,10,6,0.00437053797346199,4
chr1,418,27283307,27283309,0.673,0.91,3,12,5.66752177194596e-05,3
chr1,422,27363700,27363702,0.638,0.875,11,10,0.00172016047378476,4
chr1,426,27367165,27367167,0.509,0.831,11,19,0.00600601021793445,6
chr1,430,27645701,27645703,0.921,0.73,18,22,0.000931016735809864,4
chr1,435,28175514,28175516,0.644,0.861,3,3,7.73301242008584e-05,3
chr1,437,28303663,28303665,0.361,0.589,10,10,0.0325021861501206,3
chr1,439,28512084,28512086,0.857,0.631,13,25,0.004998127725787,3
chr1,440,28512666,28512668,0.873,0.633,35,53,0.00327829330360896,13
chr1,441,28550253,28550255,0.787,0.583,20,37,0.0288057827302809,7
chr1,442,28614753,28614755,0.826,0.643,22,19,0.00174472570501771,6
chr1,443,28806582,28806584,0.744,0.941,17,28,0.00173294808456959,6
chr1,444,28883948,28883950,0.851,0.653,17,24,0.0804533251600671,5
chr1,445,28936872,28936874,0.424,0.188,41,98,0.0938926915670104,16
chr1,449,29287636,29287638,0.726,0.935,9,9,0.0302170590424623,3
chr1,452,29409297,29409299,0.758,0.524,5,3,0.00526140665853969,3
chr1,454,29411962,29411964,0.239,0.734,4,4,0.103559622048129,3
chr1,456,29419218,29419220,0.596,0.866,14,13,0.000352134292654349,5
chr1,458,29421010,29421012,0.668,0.866,10,12,0.000720548217968853,6
chr1,461,29478725,29478727,0.833,0.639,21,30,0.046973258505694,7
chr1,463,29778324,29778326,0.893,0.701,14,23,0.000615059114271288,6
chr1,465,29900693,29900695,0.493,0.988,9,13,0.00635300456141241,5
chr1,467,29916566,29916568,0.537,0.16,10,8,0.129627654468895,4
chr1,468,29917281,29917283,0.881,0.606,10,15,0.0706714557594552,5
chr1,469,30228314,30228316,0.93,0.741,14,21,0.00287936038622238,4
chr1,474,30232152,30232154,0.906,0.673,9,16,0.00323107259952948,3
chr1,476,30392170,30392172,0.86,0.67,11,17,0.000293485760184953,4
chr1,481,30446264,30446266,0.843,0.655,14,17,0.000234317359281033,4
chr1,482,30681038,30681040,0.453,0.228,8,19,0.191322099348644,4
chr1,484,30880141,30880143,0.728,0.961,6,13,0.00478054686557705,4
chr1,486,30918485,30918487,0.398,0.849,11,17,0.565800605867451,4
chr1,494,31602407,31602409,0.299,0.572,7,33,0.158301462567818,4
chr1,495,31736861,31736863,0.399,0.697,113,99,0.0171653220375441,23
chr1,496,31738124,31738126,0.609,0.871,26,56,0.0284147534074902,7
chr1,498,31867426,31867428,0.452,0.647,17,15,0.00731363619535508,3
chr1,500,31891703,31891705,0.718,0.498,8,27,0.0630735714870121,3
chr1,502,32068454,32068456,0.375,0.623,30,50,0.0260619664807468,11
chr1,503,32082485,32082487,0.379,0.613,64,108,0.0515635389632563,14
chr1,504,32138932,32138934,0.327,0.573,22,28,0.318652315070671,7
chr1,505,32140737,32140739,0.857,0.538,16,33,0.39041960628758,5
chr1,506,32297615,32297617,0.801,0.577,15,24,0.254661220833628,3
chr1,510,32547803,32547805,0.816,0.565,40,74,0.0100941295429382,15
chr1,511,32549283,32549285,0.737,0.502,43,94,0.0141392244382909,15
chr1,514,32908689,32908691,0.722,0.921,8,18,0.00887486324215747,3
chr1,515,32909955,32909957,0.469,0.675,7,23,0.0347349652083049,4
chr1,516,32916656,32916658,0.852,0.663,7,19,0.00528280815272408,4
chr1,518,33079602,33079604,0.245,0.524,25,36,0.142089759292853,8
chr1,519,33271027,33271029,0.444,0.222,7,14,0.0193270743880408,3
chr1,522,33277782,33277784,0.207,0.524,8,9,0.02330152868728,4
chr1,523,33297436,33297438,0.932,0.632,7,20,0.00153071156629125,3
chr1,524,33592658,33592660,0.292,0.52,85,155,0.109840915129374,27
chr1,525,33600454,33600456,0.609,0.828,12,14,0.0878815079680482,4
chr1,530,34165796,34165798,0.743,0.536,19,26,0.0157187388857675,6
chr1,531,34166827,34166829,0.802,0.565,27,35,0.0112172721523105,9
chr1,533,34339444,34339446,0.837,0.572,6,19,0.0114608758667538,3
chr1,535,34341007,34341009,0.887,0.459,43,99,0.00708627733856604,11
chr1,536,34341935,34341937,0.929,0.484,35,37,0.0340396628752343,9
chr1,538,34526453,34526455,0.899,0.713,18,40,0.00130105171091266,6
chr1,540,34722738,34722740,0.583,0.913,24,56,0.0170625482310848,9
chr1,542,34759570,34759572,0.669,0.463,12,5,0.00426207743472556,3
chr1,543,34786886,34786888,0.403,0.612,14,47,0.234139209240698,5
chr1,544,34815577,34815579,0.427,0.638,28,41,0.0336472364515632,5
chr1,545,34820243,34820245,0.551,0.791,21,19,0.0279251193674483,6
chr1,547,34994379,34994381,0.833,0.586,43,72,0.0153512112910236,14
chr1,548,35582450,35582452,0.579,0.779,19,31,0.00903242395260562,6
chr1,549,35832500,35832502,0.665,0.869,10,16,0.016913891910873,4
chr1,553,36061260,36061262,0.536,0.773,19,47,0.01747870842469,9
chr1,554,36113417,36113419,0.347,0.746,6,13,0.164858422003003,3
chr1,555,36226071,36226073,0.564,0.841,15,40,0.358341077975807,7
chr1,559,36318960,36318962,0.355,0.589,11,17,0.353598337279213,5
chr1,560,36453514,36453516,0.533,0.776,13,18,0.0438987584531288,3
chr1,561,36454017,36454019,0.18,0.433,12,37,0.095946841829245,4
chr1,563,36950989,36950991,0.631,0.867,6,14,0.000460841371524245,4
chr1,564,36994690,36994692,0.875,0.672,13,17,0.0038181729642538,4
chr1,568,37248743,37248745,0.747,0.965,21,53,0.00637550474948945,7
chr1,576,37964309,37964311,0.666,0.885,4,6,0.0179050854239949,3
chr1,579,38020585,38020587,0.684,0.902,9,16,0.00171316935589794,5
chr1,584,38600199,38600201,0.273,0.645,19,35,0.187645256419388,7
chr1,585,38622621,38622623,0.978,0.64,4,3,8.00080395212399e-05,3
chr1,587,38654105,38654107,0.917,0.734,9,24,0.00109094660415809,4
chr1,588,38717590,38717592,0.906,0.615,6,13,0.00039957516696898,4
chr1,596,39470911,39470913,0.5,0.763,18,34,0.0244175805327719,11
chr1,604,39715131,39715133,0.586,0.847,16,25,0.00435143082042766,5
chr1,605,39716254,39716256,0.639,0.853,10,22,0.001739785721386,4
chr1,611,40140188,40140190,0.855,0.637,8,18,0.00704568094264335,4
chr1,612,40140990,40140992,0.842,0.635,17,22,0.00431642559336287,4
chr1,614,40446084,40446086,0.403,0.601,27,27,0.025098427732851,8
chr1,623,40936013,40936015,0.443,0.68,10,35,0.18654857202328,4
chr1,625,41182411,41182413,0.867,0.666,9,19,0.000277889486955729,3
chr1,626,41183108,41183110,0.884,0.69,18,20,0.011902240410696,3
chr1,628,41288108,41288110,0.692,0.905,10,6,0.000691577125969234,3
chr1,629,41288942,41288944,0.678,0.891,5,8,0.00866016732684083,3
chr1,630,41323713,41323715,0.39,0.601,9,13,0.200948516293492,3
chr1,631,41625151,41625153,0.892,0.678,46,54,0.0071465798842123,10
chr1,632,41698512,41698514,0.623,0.878,108,146,0.0495766448685,30
chr1,633,41785688,41785690,0.181,0.433,13,37,0.060593993819429,6
chr1,634,42097134,42097136,0.664,0.863,8,11,0.0228582991902545,3
chr1,636,42140092,42140094,0.843,0.616,33,40,0.0192259796186511,11
chr1,645,42373690,42373692,0.633,0.834,15,27,0.0278556156465214,6
chr1,646,42486561,42486563,0.325,0.674,20,36,0.451520584274865,7
chr1,647,42519067,42519069,0.635,0.907,25,50,0.023809703292159,9
chr1,649,42526065,42526067,0.98,0.785,11,18,0.00153801080738869,6
chr1,650,42583997,42583999,0.882,0.684,6,19,0.0363304647959379,3
chr1,651,42645294,42645296,0.862,0.67,19,30,0.00587560919960928,6
chr1,652,42646271,42646273,0.872,0.672,13,16,0.00437997968646475,6
chr1,654,42687262,42687264,0.513,0.769,7,13,0.109693878016518,3
chr1,658,43473779,43473781,0.279,0.68,3,9,0.0892054978939238,3
chr1,659,43504991,43504993,0.926,0.713,37,36,0.0315117585633616,8
chr1,661,43559200,43559202,0.655,0.852,12,26,0.0104030132254014,4
chr1,664,43885206,43885208,0.755,0.553,14,22,0.06817624858736,4
chr1,665,43935558,43935560,0.617,0.833,7,22,0.00870417858311889,3
chr1,666,43936436,43936438,0.565,0.38,8,21,0.00022649263118435,4
chr1,670,44152166,44152168,0.597,0.812,51,75,0.0432925780779847,17
chr1,671,44161134,44161136,0.719,0.536,10,19,0.0961346864670232,3
chr1,676,44637276,44637278,0.908,0.687,4,7,0.00457471834565637,3
chr1,677,44734307,44734309,0.778,0.558,29,42,0.0161703531093018,17
chr1,678,44739630,44739632,0.67,0.462,9,17,0.0200119189940304,5
chr1,679,44916966,44916968,0.734,0.548,7,11,0.00407616531681665,6
chr1,680,45028141,45028143,0.68,0.906,38,47,0.00293708859452735,14
chr1,683,45131004,45131006,0.856,0.656,14,33,0.0171003911813284,4
chr1,684,45168422,45168424,0.603,0.835,54,80,0.0223855487601771,16
chr1,685,45405064,45405066,0.41,0.637,15,23,0.0416391860539151,5
chr1,687,45797869,45797871,0.966,0.707,16,21,0.0239803940621069,4
chr1,689,45854757,45854759,0.659,0.921,24,51,0.00700854074808832,6
chr1,691,46037686,46037688,0.453,0.655,15,16,0.0478855758005097,3
chr1,693,46078625,46078627,0.301,0.593,16,36,0.121663780903305,5
chr1,694,46081382,46081384,0.487,0.245,15,40,0.141599962567748,6
chr1,695,46082130,46082132,0.765,0.555,8,12,0.0540728864350309,4
chr1,697,46297338,46297340,0.741,0.955,8,15,0.00773036768160762,4
chr1,698,46326425,46326427,0.839,0.644,9,12,0.00630828746730272,3
chr1,700,46559141,46559143,0.761,0.562,23,22,0.00190614678993373,7
chr1,701,46570027,46570029,0.772,0.508,59,94,0.0162454413877421,14
chr1,704,46753634,46753636,0.674,0.909,5,15,0.00190408255943253,3
chr1,705,47003133,47003135,0.322,0.599,10,25,0.12095690636878,4
chr1,706,47006118,47006120,0.334,0.555,12,14,0.19009101878024,4
chr1,707,47072212,47072214,0.641,0.868,10,16,0.0198707818138251,4
chr1,708,47082696,47082698,0.623,0.845,46,99,0.000352727620323012,12
chr1,710,47147726,47147728,0.687,0.461,13,16,0.241358608402854,6
chr1,712,47214285,47214287,0.683,0.477,36,43,0.291324394212154,7
chr1,714,47272076,47272078,0.695,0.917,55,82,0.0397611154247008,17
chr1,715,47290073,47290075,0.313,0.57,14,43,0.138041731577551,7
chr1,716,47328808,47328810,0.625,0.863,34,59,0.0828726616160476,11
chr1,717,47329969,47329971,0.397,0.078,19,23,0.0600289975635751,6
chr1,718,47355167,47355169,0.775,0.563,24,49,0.0128965427260526,9
chr1,720,47672876,47672878,0.796,0.556,25,55,0.139323086403369,11
chr1,721,48133993,48133995,0.564,0.811,6,7,0.0140706958345409,4
chr1,722,48134783,48134785,0.593,0.845,16,31,0.0114074732054917,7
chr1,723,48136612,48136614,0.715,0.488,51,62,0.0681733126410785,16
chr1,725,48206086,48206088,0.929,0.664,22,28,0.226612145201581,6
chr1,726,48565247,48565249,0.594,0.382,56,122,0.0724759496457482,27
chr1,727,48624756,48624758,0.19,0.501,3,10,0.00504127659096421,3
chr1,728,48625152,48625154,0.027,0.255,12,12,0.00858608967997885,4
