chr	start	end	annotation	dist.to.tss	gene	name	hypo_in_femaleVSall	gExp_up_in_femaleVSmale	deVSall
chr13	99405563	99407351	Intergenic	-118570	ENSRNOT00000004780.4	Ephx1	FALSE	FALSE	FALSE
chr13	113921002	113922112	intron	-49460	ENSRNOT00000084320.1	Cr1l	FALSE	FALSE	FALSE
chr14	7701265	7702127	intron	83676	ENSRNOT00000088508.1	Slc10a6	FALSE	FALSE	FALSE
chr14	7703843	7705546	intron	86674	ENSRNOT00000088508.1	Slc10a6	FALSE	FALSE	FALSE
chr15	4928927	4929293	intron	22760	ENSRNOT00000082196.1	Nid2	FALSE	FALSE	FALSE
chr15	61677824	61678114	intron	-14355	ENSRNOT00000015517.5	Kbtbd6	TRUE	TRUE	TRUE
chr15	61682395	61683201	intron	-9526	ENSRNOT00000015517.5	Kbtbd6	TRUE	TRUE	TRUE
chr15	106271544	106272596	intron	14422	ENSRNOT00000072538.2	Ipo5	TRUE	TRUE	TRUE
chr16	11027151	11027778	Intergenic	-86046	ENSRNOT00000085414.1	Ldb3	TRUE	TRUE	FALSE
chr16	36054317	36054369	intron	119286	ENSRNOT00000016474.3	Galnt7	TRUE	TRUE	FALSE
chr17	16331206	16331533	Intergenic	89006	ENSRNOT00000022669.6	Phf2	TRUE	TRUE	FALSE
chr17	31355580	31357230	intron	-136700	ENSRNOT00000023611.6	Tubb2a	TRUE	TRUE	FALSE
chr17	34818041	34818328	intron	85678	ENSRNOT00000079332.1	Irf4	FALSE	FALSE	FALSE
chr17	34987111	34988793	intron	-84090	ENSRNOT00000079332.1	Irf4	FALSE	FALSE	FALSE
chr17	49598214	49599545	Intergenic	82452	ENSRNOT00000048929.3	Tgif2-ps1	TRUE	TRUE	FALSE
chr17	54957808	54959167	Intergenic	-107132	ENSRNOT00000086342.1	Zfp438	FALSE	FALSE	TRUE
chr17	55246244	55247457	intron	54148	ENSRNOT00000064331.4	Svil	TRUE	TRUE	FALSE
chr17	55348594	55349317	Intergenic	-2676	ENSRNOT00000025037.8	Svil	TRUE	TRUE	FALSE
chr18	15542888	15543214	Intergenic	-2874	ENSRNOT00000022113.4	Ttr	TRUE	TRUE	FALSE
chr18	15685113	15685196	intron	-144977	ENSRNOT00000022113.4	Ttr	TRUE	TRUE	FALSE
chr2	22504129	22505446	Intergenic	-119111	ENSRNOT00000065224.1	Thbs4	TRUE	TRUE	FALSE
chr2	26778990	26779597	Intergenic	39386	ENSRNOT00000074326.1	AABR07007744.1	FALSE	FALSE	FALSE
chr2	26798463	26801141	Intergenic	18877	ENSRNOT00000074326.1	AABR07007744.1	FALSE	FALSE	FALSE
chr2	26945802	26946290	Intergenic	-127367	ENSRNOT00000074326.1	AABR07007744.1	FALSE	FALSE	FALSE
chr2	154226746	154227100	Intergenic	107433	ENSRNOT00000057724.4	Plch1	TRUE	TRUE	TRUE
chr2	154227707	154228122	Intergenic	106442	ENSRNOT00000057724.4	Plch1	TRUE	TRUE	TRUE
chr2	154477449	154478029	Intergenic	-143383	ENSRNOT00000057724.4	Plch1	TRUE	TRUE	TRUE
chr2	196612130	196614990	intron	-86674	ENSRNOT00000077325.1	Setdb1	TRUE	TRUE	FALSE
chr20	3433144	3433561	intron	-134517	ENSRNOT00000083617.1	Gnl1	TRUE	TRUE	FALSE
chr20	4900369	4900938	intron	-93035	ENSRNOT00000087861.1	Vars	TRUE	TRUE	TRUE
chr20	46654980	46655463	intron	-12231	ENSRNOT00000065890.1	Sesn1	TRUE	TRUE	FALSE
chr3	111597908	111598648	intron	-100807	ENSRNOT00000064395.4	Mga	TRUE	TRUE	FALSE
chr3	117533107	117533723	Intergenic	111744	ENSRNOT00000008857.7	Slc12a1	TRUE	TRUE	TRUE
chr3	170569405	170570106	Intergenic	19443	ENSRNOT00000006991.5	Tfap2c	TRUE	TRUE	TRUE
chr3	170662618	170663417	Intergenic	112705	ENSRNOT00000006991.5	Tfap2c	TRUE	TRUE	TRUE
chr4	7356347	7356427	intron	-103437	ENSRNOT00000084777.1	Agap3	TRUE	TRUE	TRUE
chr4	66293162	66293792	intron	-111827	ENSRNOT00000067097.2	Clec2l	FALSE	FALSE	TRUE
chr4	114922945	114924923	intron	-100434	ENSRNOT00000089870.1	AC117925.4	TRUE	TRUE	TRUE
chr4	140247500	140247753	promoter-TSS	293	ENSRNOT00000041130.5	Itpr1	TRUE	TRUE	FALSE
chr4	155600141	155600558	intron	-54560	ENSRNOT00000087883.1	Foxj2	TRUE	TRUE	TRUE
chr4	170661574	170662242	intron	121817	ENSRNOT00000072528.1	Wbp11	TRUE	TRUE	FALSE
chr5	25433770	25435697	intron	149545	ENSRNOT00000090579.1	Pdp1	TRUE	TRUE	FALSE
chr5	171549625	171549891	intron	98805	ENSRNOT00000072786.2	Arhgef16	TRUE	TRUE	TRUE
chr6	3458269	3460054	Intergenic	-103822	ENSRNOT00000084602.1	Map4k3	TRUE	TRUE	TRUE
chr6	41969295	41970164	intron	-126912	ENSRNOT00000084155.1	Lpin1	TRUE	TRUE	FALSE
chr6	107573811	107574601	intron	-22577	ENSRNOT00000076055.2	Dnal1	FALSE	FALSE	FALSE
chr6	134945484	134947111	Intergenic	103431	ENSRNOT00000009556.7	Hsp90aa1	FALSE	FALSE	TRUE
chr6	134968478	134969427	intron	80776	ENSRNOT00000009556.7	Hsp90aa1	FALSE	FALSE	TRUE
chr6	135756122	135756392	intron	73696	ENSRNOT00000080623.1	Cdc42bpb	TRUE	TRUE	FALSE
chr6	135783292	135784253	intron	46181	ENSRNOT00000080623.1	Cdc42bpb	TRUE	TRUE	FALSE
chr6	135831163	135831471	promoter-TSS	-1364	ENSRNOT00000080623.1	Cdc42bpb	TRUE	TRUE	FALSE
chr7	126652424	126654866	intron	11695	ENSRNOT00000078928.1	Ppara	TRUE	TRUE	FALSE
chr7	129838910	129840440	Intergenic	-20437	ENSRNOT00000085835.1	Pim3	TRUE	TRUE	FALSE
chr7	140428337	140430348	intron	-138546	ENSRNOT00000082699.1	Adcy6	FALSE	FALSE	TRUE
chr7	143985533	143986187	Intergenic	-18997	ENSRNOT00000018828.3	Sp7	TRUE	TRUE	FALSE
chr8	23414981	23415347	intron	-24391	ENSRNOT00000071846.2	Anln	FALSE	FALSE	FALSE
chr8	78276169	78276305	Intergenic	120886	ENSRNOT00000087270.1	Tcf12	TRUE	TRUE	TRUE
chr8	108886806	108887609	Intergenic	-70890	ENSRNOT00000066917.1	Stag1	TRUE	TRUE	TRUE
chr8	115182636	115182875	intron	-3564	ENSRNOT00000017224.6	Parp3	TRUE	TRUE	FALSE
chr9	9797364	9797815	Intergenic	76454	ENSRNOT00000075494.1	C3	FALSE	FALSE	FALSE
chr9	50597839	50598143	intron	-66157	ENSRNOT00000015393.5	Tpp2	FALSE	FALSE	TRUE
chrX	63292798	63293699	promoter-TSS	-2141	ENSRNOT00000092019.1	Eif2s3	TRUE	TRUE	FALSE
chrX	74386865	74387390	Intergenic	71279	ENSRNOT00000076538.1	LOC680227	TRUE	TRUE	FALSE
chrX	138261813	138262259	Intergenic	-113069	ENSRNOT00000033968.7	Frmd7	TRUE	TRUE	FALSE
chrX	138262843	138265277	Intergenic	-115093	ENSRNOT00000033968.7	Frmd7	TRUE	TRUE	FALSE
