#rn6.ensGene.name	rn6.ensGene.chrom	rn6.ensGene.strand	rn6.ensGene.txStart	rn6.ensGene.txEnd	rn6.ensGene.name2	rn6.ensemblToGeneName.value
ENSRNOT00000015495.5	chr1	+	267359829	267412810	ENSRNOG00000011339.6	Slk
ENSRNOT00000020580.6	chr1	+	274688579	274751816	ENSRNOG00000015339.6	Shoc2
ENSRNOT00000078416.1	chr1	-	277857832	277902279	ENSRNOG00000046333.2	Ablim1
ENSRNOT00000086726.1	chr1	-	277870367	277939089	ENSRNOG00000046333.2	Ablim1
ENSRNOT00000018693.7	chr1	-	277870367	278042312	ENSRNOG00000046333.2	Ablim1
ENSRNOT00000024548.5	chr1	-	279946810	280015358	ENSRNOG00000018019.5	Hspa12a
ENSRNOT00000087543.1	chr1	-	1439098	1442186	ENSRNOG00000040316.3	AABR07000145.1
ENSRNOT00000062051.3	chr1	-	1439098	1442186	ENSRNOG00000040316.3	AABR07000145.1
ENSRNOT00000019181.5	chr1	+	1702695	1731210	ENSRNOG00000014303.6	Lrp11
ENSRNOT00000020417.6	chr1	+	1825871	1867787	ENSRNOG00000014996.6	Katna1
ENSRNOT00000065646.1	chr1	+	1938418	1972918	ENSRNOG00000016041.6	Zc3h12d
ENSRNOT00000022003.5	chr1	-	2333777	2627747	ENSRNOG00000016381.5	Ust
ENSRNOT00000082859.1	chr1	-	2750891	2762394	ENSRNOG00000059137.1	AABR07000173.1
ENSRNOT00000049699.6	chr1	-	3858908	4011353	ENSRNOG00000013351.8	Stxbp5
ENSRNOT00000040559.5	chr1	-	3861952	4011511	ENSRNOG00000013351.8	Stxbp5
ENSRNOT00000044778.4	chr1	-	3862090	4011161	ENSRNOG00000013351.8	Stxbp5
ENSRNOT00000061954.4	chr1	-	4445026	4550768	ENSRNOG00000042741.4	Adgb
ENSRNOT00000044325.3	chr1	-	4753143	5165859	ENSRNOG00000014290.7	Grm1
ENSRNOT00000019319.3	chr1	-	4753143	5165859	ENSRNOG00000014290.7	Grm1
ENSRNOT00000019918.5	chr1	+	5366378	5388069	ENSRNOG00000014852.5	Fbxo30
ENSRNOT00000061930.4	chr1	+	5448957	5571512	ENSRNOG00000040242.4	Epm2a
ENSRNOT00000086574.1	chr1	-	6451809	6903486	ENSRNOG00000011058.7	Utrn
ENSRNOT00000016273.5	chr1	-	6453548	6970040	ENSRNOG00000011058.7	Utrn
ENSRNOT00000048754.5	chr1	-	7355153	7480825	ENSRNOG00000015473.7	Phactr2
ENSRNOT00000073460.2	chr1	+	7726528	7742484	ENSRNOG00000046983.2	Adat2
ENSRNOT00000046539.5	chr1	-	7816837	8038665	ENSRNOG00000010753.6	Aig1
ENSRNOT00000030511.6	chr1	-	8593074	8751198	ENSRNOG00000011411.7	Adgrg6
ENSRNOT00000087070.1	chr1	+	12006597	12136637	ENSRNOG00000055789.1	AABR07000411.1
ENSRNOT00000085926.1	chr1	-	12683023	12757959	ENSRNOG00000056019.1	AC128394.2
ENSRNOT00000089607.1	chr1	+	13212323	13298347	ENSRNOG00000059224.1	Reps1
ENSRNOT00000081716.1	chr1	-	13344900	13382067	ENSRNOG00000052189.1	AABR07000452.1
ENSRNOT00000015927.6	chr1	-	13838706	13915594	ENSRNOG00000011460.6	Arfgef3
ENSRNOT00000077965.1	chr1	+	14527715	14549472	ENSRNOG00000054373.1	AABR07000484.1
ENSRNOT00000085786.1	chr1	+	14938229	14950781	ENSRNOG00000053291.1	AABR07000493.1
ENSRNOT00000081876.1	chr1	+	14938229	14945756	ENSRNOG00000053291.1	AABR07000493.1
ENSRNOT00000016286.6	chr1	+	15062431	15080907	ENSRNOG00000012074.6	Ifngr1
ENSRNOT00000050656.2	chr1	+	15180327	15222785	ENSRNOG00000012286.4	Il20ra
ENSRNOT00000016728.7	chr1	-	15311769	15374850	ENSRNOG00000012322.7	Pex7
ENSRNOT00000051496.6	chr1	+	15412602	15613746	ENSRNOG00000031700.6	Map3k5
ENSRNOT00000067070.3	chr1	+	15412602	15613746	ENSRNOG00000031700.6	Map3k5
ENSRNOT00000088025.1	chr1	+	15782476	15860624	ENSRNOG00000058050.1	Bclaf1
ENSRNOT00000089966.1	chr1	+	15782476	15860624	ENSRNOG00000058050.1	Bclaf1
ENSRNOT00000078586.1	chr1	-	15893532	16203909	ENSRNOG00000013436.6	Pde7b
ENSRNOT00000018556.6	chr1	-	15893532	16203838	ENSRNOG00000013436.6	Pde7b
ENSRNOT00000019076.6	chr1	+	16478126	16601769	ENSRNOG00000013969.6	Ahi1
ENSRNOT00000020102.7	chr1	-	17171630	17378047	ENSRNOG00000014979.7	Themis
ENSRNOT00000015547.6	chr1	-	19227120	19376301	ENSRNOG00000011245.6	Arhgap18
ENSRNOT00000061404.4	chr1	+	20022792	20097099	ENSRNOG00000011720.7	L3mbtl3
ENSRNOT00000017617.7	chr1	+	21141969	21263850	ENSRNOG00000013202.7	Akap7
ENSRNOT00000018695.5	chr1	+	21613147	21684480	ENSRNOG00000013791.5	Enpp3
ENSRNOT00000019519.6	chr1	+	21748260	21813371	ENSRNOG00000013994.6	Enpp1
ENSRNOT00000061234.2	chr1	-	22124494	22206505	ENSRNOG00000015321.6	Moxd1
ENSRNOT00000022362.7	chr1	+	23409407	23610164	ENSRNOG00000016627.7	Eya4
ENSRNOT00000014805.7	chr1	+	23977687	24002506	ENSRNOG00000011114.7	Tbpl1
ENSRNOT00000083452.1	chr1	-	24185434	24302298	ENSRNOG00000011815.8	Sgk1
ENSRNOT00000075616.2	chr1	+	24900857	24905169	ENSRNOG00000048976.3	LOC367485
ENSRNOT00000090388.1	chr1	-	25403390	25735023	ENSRNOG00000012609.8	Trdn
ENSRNOT00000042072.6	chr1	-	25405368	25839345	ENSRNOG00000012609.8	Trdn
ENSRNOT00000075427.2	chr1	+	27476374	28159290	ENSRNOG00000029608.5	Nkain2
ENSRNOT00000047224.5	chr1	+	27476374	28155831	ENSRNOG00000029608.5	Nkain2
ENSRNOT00000078841.1	chr1	+	28454965	28576261	ENSRNOG00000021478.4	Tpd52l1
ENSRNOT00000030327.3	chr1	+	28455050	28576553	ENSRNOG00000021478.4	Tpd52l1
ENSRNOT00000019735.5	chr1	+	31576182	31591849	ENSRNOG00000014485.5	Pdcd6
ENSRNOT00000020251.5	chr1	+	31700952	31731700	ENSRNOG00000039776.3	Exoc3
ENSRNOT00000077740.1	chr1	+	31702484	31731815	ENSRNOG00000039776.3	Exoc3
ENSRNOT00000020780.7	chr1	+	31834999	31864628	ENSRNOG00000015465.7	Cep72
ENSRNOT00000081471.1	chr1	+	31967977	31987125	ENSRNOG00000015810.5	Trip13
ENSRNOT00000021532.4	chr1	+	31967981	32012919	ENSRNOG00000015810.5	Trip13
ENSRNOT00000022635.7	chr1	-	32086754	32140137	ENSRNOG00000016372.7	Slc12a7
ENSRNOT00000081339.1	chr1	-	32086756	32140136	ENSRNOG00000016372.7	Slc12a7
ENSRNOT00000078039.1	chr1	-	32088258	32141036	ENSRNOG00000016372.7	Slc12a7
ENSRNOT00000081097.1	chr1	+	32240143	32244377	ENSRNOG00000061518.1	AC142421.2
ENSRNOT00000016975.4	chr1	-	32634795	32643771	ENSRNOG00000012720.4	Irx4
ENSRNOT00000022790.8	chr1	+	35067489	35198939	ENSRNOG00000016812.8	Adamts16
ENSRNOT00000023641.6	chr1	-	36295649	36319896	ENSRNOG00000017254.6	Nsun2
ENSRNOT00000090884.1	chr1	-	36297763	36319966	ENSRNOG00000017254.6	Nsun2
ENSRNOT00000081636.1	chr1	+	37059411	37162589	ENSRNOG00000058077.1	AABR07001068.1
ENSRNOT00000047627.3	chr1	+	37507275	37698390	ENSRNOG00000032150.4	Adcy2
ENSRNOT00000024149.5	chr1	-	37878515	37886675	ENSRNOG00000017963.5	AABR07001099.1
ENSRNOT00000090406.1	chr1	-	38527518	38538987	ENSRNOG00000047145.2	Zfp729a
ENSRNOT00000071275.2	chr1	-	38528184	38538987	ENSRNOG00000047145.2	Zfp729a
ENSRNOT00000087610.1	chr1	-	38895130	39035633	ENSRNOG00000053328.1	AABR07001233.1
ENSRNOT00000081556.1	chr1	-	40232322	40255707	ENSRNOG00000053056.1	AABR07001358.1
ENSRNOT00000021471.6	chr1	+	40389637	40520447	ENSRNOG00000016011.6	Plekhg1
ENSRNOT00000026564.6	chr1	+	40529044	40719391	ENSRNOG00000019582.7	Mthfd1l
ENSRNOT00000082133.1	chr1	+	41192823	41325726	ENSRNOG00000019358.7	Esr1
ENSRNOT00000026350.7	chr1	+	41323193	41590697	ENSRNOG00000019358.7	Esr1
ENSRNOT00000081017.1	chr1	+	41325461	41594796	ENSRNOG00000019358.7	Esr1
ENSRNOT00000078494.1	chr1	+	41325530	41590619	ENSRNOG00000019358.7	Esr1
ENSRNOT00000088168.1	chr1	+	41325530	41590619	ENSRNOG00000019358.7	Esr1
ENSRNOT00000084571.1	chr1	-	41608417	41821544	ENSRNOG00000018960.7	Syne1
ENSRNOT00000047472.5	chr1	-	41609127	41754652	ENSRNOG00000018960.7	Syne1
ENSRNOT00000090638.1	chr1	-	41635314	41761735	ENSRNOG00000018960.7	Syne1
ENSRNOT00000029416.5	chr1	-	42461318	42468153	ENSRNOG00000024077.5	Fbxo5
ENSRNOT00000088389.1	chr1	+	43454802	43527693	ENSRNOG00000018191.8	Oprm1
ENSRNOT00000086685.1	chr1	+	43454802	43527693	ENSRNOG00000018191.8	Oprm1
ENSRNOT00000090697.1	chr1	+	43454866	43527693	ENSRNOG00000018191.8	Oprm1
ENSRNOT00000082455.1	chr1	+	43454866	43527693	ENSRNOG00000018191.8	Oprm1
ENSRNOT00000045144.6	chr1	+	43454869	43527693	ENSRNOG00000018191.8	Oprm1
ENSRNOT00000051837.4	chr1	+	43475419	43528437	ENSRNOG00000018191.8	Oprm1
ENSRNOT00000089428.1	chr1	+	43475588	43517148	ENSRNOG00000018191.8	Oprm1
ENSRNOT00000084099.1	chr1	+	43475588	43527605	ENSRNOG00000018191.8	Oprm1
ENSRNOT00000079390.1	chr1	+	43475588	43527605	ENSRNOG00000018191.8	Oprm1
ENSRNOT00000092034.1	chr1	+	43475588	43703276	ENSRNOG00000018191.8	Oprm1
ENSRNOT00000024682.8	chr1	+	43475588	43704948	ENSRNOG00000018191.8	Oprm1
ENSRNOT00000079628.1	chr1	+	43475594	43703276	ENSRNOG00000018191.8	Oprm1
ENSRNOT00000083308.1	chr1	+	43475596	43700633	ENSRNOG00000018191.8	Oprm1
ENSRNOT00000088253.1	chr1	+	43503263	43527549	ENSRNOG00000018191.8	Oprm1
ENSRNOT00000089326.1	chr1	+	43508675	43518746	ENSRNOG00000018191.8	Oprm1
ENSRNOT00000078768.1	chr1	-	44433115	44474674	ENSRNOG00000056223.1	Tfb1m
ENSRNOT00000022148.4	chr1	-	44550993	44615760	ENSRNOG00000016490.4	Nox3
ENSRNOT00000087973.1	chr1	+	44789373	44835208	ENSRNOG00000059546.1	AABR07001448.1
ENSRNOT00000043521.4	chr1	+	46378806	46649292	ENSRNOG00000029049.4	Zdhhc14
ENSRNOT00000075268.2	chr1	+	46779859	46825830	ENSRNOG00000046874.2	Snx9
ENSRNOT00000066798.4	chr1	+	46835970	46932053	ENSRNOG00000017114.8	Synj2
ENSRNOT00000068476.4	chr1	+	46873010	46932529	ENSRNOG00000017114.8	Synj2
ENSRNOT00000067661.3	chr1	+	46873010	46932529	ENSRNOG00000017114.8	Synj2
ENSRNOT00000024412.5	chr1	+	47032112	47127035	ENSRNOG00000018012.7	Tulp4
ENSRNOT00000046746.3	chr1	-	47287873	47331412	ENSRNOG00000018524.6	Ezr
ENSRNOT00000067916.3	chr1	-	47426257	47477524	ENSRNOG00000018762.8	Rsph3
ENSRNOT00000089344.1	chr1	+	47704676	47725747	ENSRNOG00000058069.1	AABR07001497.2
ENSRNOT00000020100.5	chr1	+	48077032	48108216	ENSRNOG00000014971.5	Mas1
ENSRNOT00000037369.2	chr1	+	48433078	48521256	ENSRNOG00000022946.2	Slc22a3
ENSRNOT00000064018.3	chr1	+	48625742	48711642	ENSRNOG00000017419.7	Map3k4
ENSRNOT00000084317.1	chr1	+	48625753	48711634	ENSRNOG00000017419.7	Map3k4
ENSRNOT00000024213.4	chr1	-	48719632	48825364	ENSRNOG00000017731.4	Agpat4
ENSRNOT00000082958.1	chr1	-	48719941	48797631	ENSRNOG00000017731.4	Agpat4
ENSRNOT00000083884.1	chr1	-	48880110	48891130	ENSRNOG00000054620.1	AC135026.1
ENSRNOT00000086127.1	chr1	-	49290111	49844547	ENSRNOG00000055547.1	AABR07001519.1
ENSRNOT00000077423.1	chr1	-	49293467	49844547	ENSRNOG00000055547.1	AABR07001519.1
ENSRNOT00000089439.1	chr1	-	49586629	49844547	ENSRNOG00000055547.1	AABR07001519.1
ENSRNOT00000090521.1	chr1	-	49742691	49844547	ENSRNOG00000055547.1	AABR07001519.1
ENSRNOT00000089149.1	chr1	+	50828133	50931579	ENSRNOG00000048297.3	Qk
ENSRNOT00000035402.5	chr1	+	50828584	51052340	ENSRNOG00000048297.3	Qk
ENSRNOT00000023290.6	chr1	+	50828584	51050257	ENSRNOG00000048297.3	Qk
ENSRNOT00000086441.1	chr1	+	50828584	50933516	ENSRNOG00000048297.3	Qk
ENSRNOT00000033685.5	chr1	-	52907434	52962388	ENSRNOG00000024172.5	T2
ENSRNOT00000017302.6	chr1	-	53065024	53087474	ENSRNOG00000012964.6	Ccr6
ENSRNOT00000032667.7	chr1	-	53715692	53802658	ENSRNOG00000023753.7	Mllt4
ENSRNOT00000082026.1	chr1	-	54223576	54287747	ENSRNOG00000055136.1	AABR07001610.1
ENSRNOT00000089308.1	chr1	-	55298756	55436914	ENSRNOG00000055830.1	AABR07001700.1
ENSRNOT00000019317.7	chr1	+	56242345	56373984	ENSRNOG00000014166.7	Smoc2
ENSRNOT00000079718.1	chr1	+	56288831	56374120	ENSRNOG00000014166.7	Smoc2
ENSRNOT00000021141.7	chr1	-	56808449	56942556	ENSRNOG00000015609.7	Wdr27
ENSRNOT00000066370.3	chr1	-	57533576	57555048	ENSRNOG00000021493.6	Prdm9
ENSRNOT00000075401.1	chr1	-	57796708	57815038	ENSRNOG00000048190.1	Rgmb
ENSRNOT00000084574.1	chr1	+	57999494	58094608	ENSRNOG00000052286.1	AABR07001799.1
ENSRNOT00000089298.1	chr1	+	61445671	61509765	ENSRNOG00000058436.1	AABR07001899.1
ENSRNOT00000086029.1	chr1	+	61733804	61740311	ENSRNOG00000058030.1	Zfp229
ENSRNOT00000082759.1	chr1	-	62507148	62538222	ENSRNOG00000055124.1	AABR07001942.1
ENSRNOT00000088236.1	chr1	-	63299392	63315881	ENSRNOG00000058214.1	AC098462.3
ENSRNOT00000046049.4	chr1	-	63535050	63571794	ENSRNOG00000009146.6	Vom2r26
ENSRNOT00000080799.1	chr1	+	63759637	63849063	ENSRNOG00000053260.1	Lilrb3l
ENSRNOT00000085010.1	chr1	+	64046376	64126611	ENSRNOG00000059741.1	Tmc4
ENSRNOT00000084846.1	chr1	-	64092225	64099277	ENSRNOG00000059572.1	Tsen34
ENSRNOT00000081213.1	chr1	+	64740486	64749705	ENSRNOG00000056036.1	AABR07002008.1
ENSRNOT00000086867.1	chr1	+	64849656	64975956	ENSRNOG00000057050.1	Vom2r12
ENSRNOT00000081724.1	chr1	+	64849656	64950897	ENSRNOG00000057050.1	Vom2r12
ENSRNOT00000075269.2	chr1	-	65763520	65863037	ENSRNOG00000045583.2	AABR07002068.1
