chr	start	end	annotation	dist.to.tss	gene	name	hypo_in_female	logFC	FDR	gExp_up_in_female	epi_regulation
chr1	214357664	214357939	Intergenic	66080	ENSRNOT00000025290.5	LOC100911519	FALSE	5.984	0.02	FALSE	TRUE
chr1	226934311	226934522	intron	112874	ENSRNOT00000037226.5	Ms4a15	TRUE	-4.092	0.001	TRUE	TRUE
chr1	226984847	226985396	Intergenic	62169	ENSRNOT00000037226.5	Ms4a15	TRUE	-4.092	0.001	TRUE	TRUE
chr1	231539066	231540713	Intergenic	-9103	ENSRNOT00000018272.8	Tle4	FALSE	6.891	0.002	FALSE	TRUE
chr1	241038215	241038522	intron	117169	ENSRNOT00000034216.6	Mamdc2	FALSE	5.651	0.039	FALSE	TRUE
chr1	241039220	241039334	intron	116260	ENSRNOT00000034216.6	Mamdc2	FALSE	5.651	0.039	FALSE	TRUE
chr1	252722643	252723888	Intergenic	126491	ENSRNOT00000025845.4	Lipa	TRUE	-0.808	0.033	TRUE	TRUE
chr1	252724577	252725416	Intergenic	124760	ENSRNOT00000025845.4	Lipa	TRUE	-0.808	0.033	TRUE	TRUE
chr1	267568667	267568936	intron	-105096	ENSRNOT00000016645.6	Col17a1	TRUE	-5.752	0.025	TRUE	TRUE
chr1	267569973	267570855	intron	-106709	ENSRNOT00000016645.6	Col17a1	TRUE	-5.752	0.025	TRUE	TRUE
chr10	3316884	3318162	intron	-24975	ENSRNOT00000086929.1	Mpv17l	TRUE	-5.743	0.026	TRUE	TRUE
chr10	15603696	15604186	promoter-TSS	-292	ENSRNOT00000051483.3	Hba1	TRUE	-0.398	0.001	TRUE	TRUE
chr10	37191221	37191391	intron	-136024	ENSRNOT00000065584.3	Hnrnpab	FALSE	0.476	0.003	FALSE	TRUE
chr10	38090290	38090762	Intergenic	-65589	ENSRNOT00000042688.2	LOC100362027	TRUE	-1.254	0	TRUE	TRUE
chr10	38140754	38142542	intron	-116711	ENSRNOT00000042688.2	LOC100362027	TRUE	-1.254	0	TRUE	TRUE
chr10	38143404	38143922	intron	-118726	ENSRNOT00000042688.2	LOC100362027	TRUE	-1.254	0	TRUE	TRUE
chr10	46594075	46594169	promoter-TSS	-1113	ENSRNOT00000047053.6	Srebf1	TRUE	-1.252	0	TRUE	TRUE
chr10	49148208	49148616	exon	-110780	ENSRNOT00000091100.1	Fbxw10	TRUE	-8.231	0	TRUE	TRUE
chr10	64364941	64365403	intron	-24106	ENSRNOT00000082825.1	Vps53	TRUE	-2.237	0.048	TRUE	TRUE
chr10	64413793	64414436	intron	-73048	ENSRNOT00000082825.1	Vps53	TRUE	-2.237	0.048	TRUE	TRUE
chr10	70732654	70732858	intron	42847	ENSRNOT00000082030.1	Taf15	TRUE	-0.929	0.012	TRUE	TRUE
chr10	82003631	82005031	intron	112290	ENSRNOT00000051497.5	Abcc3	FALSE	6.889	0.002	FALSE	TRUE
chr10	82686617	82687026	Intergenic	-58978	ENSRNOT00000005311.6	Col1a1	TRUE	-1.127	0	TRUE	TRUE
chr10	82701385	82701534	Intergenic	-44340	ENSRNOT00000005311.6	Col1a1	TRUE	-1.127	0	TRUE	TRUE
chr10	82766404	82766460	Intergenic	20633	ENSRNOT00000005311.6	Col1a1	TRUE	-1.127	0	TRUE	TRUE
chr10	82791822	82791968	Intergenic	46096	ENSRNOT00000005311.6	Col1a1	TRUE	-1.127	0	TRUE	TRUE
chr10	85051230	85051912	Intergenic	-2240	ENSRNOT00000012538.5	Tbx21	TRUE	-7.504	0	TRUE	TRUE
chr10	85086831	85087403	Intergenic	-37786	ENSRNOT00000012538.5	Tbx21	TRUE	-7.504	0	TRUE	TRUE
chr10	88204264	88205429	Intergenic	120376	ENSRNOT00000021322.4	P3h4	FALSE	6.486	0.006	FALSE	TRUE
chr10	88260008	88260543	intron	64947	ENSRNOT00000021322.4	P3h4	FALSE	6.486	0.006	FALSE	TRUE
chr10	88332946	88333104	intron	-7803	ENSRNOT00000021322.4	P3h4	FALSE	6.486	0.006	FALSE	TRUE
chr10	88483517	88483645	intron	-40785	ENSRNOT00000077579.1	Acly	FALSE	6.843	0.002	FALSE	TRUE
chr10	104408928	104409116	Intergenic	-28624	ENSRNOT00000035001.6	n/a	TRUE	-1.061	0.006	TRUE	TRUE
chr10	104409632	104410187	Intergenic	-27737	ENSRNOT00000035001.6	n/a	TRUE	-1.061	0.006	TRUE	TRUE
chr11	47273008	47273946	Intergenic	73450	ENSRNOT00000079598.1	Nxpe3	FALSE	5.017	0.003	FALSE	TRUE
chr11	47281796	47282820	Intergenic	82281	ENSRNOT00000079598.1	Nxpe3	FALSE	5.017	0.003	FALSE	TRUE
chr11	82798102	82798381	intron	-50610	ENSRNOT00000073743.2	Thpo	TRUE	-6.02	0.014	TRUE	TRUE
chr12	13055172	13055815	intron	102077	ENSRNOT00000001437.6	Daglb	TRUE	-5.395	0.049	TRUE	TRUE
chr12	19633807	19634609	Intergenic	34250	ENSRNOT00000042006.4	Stag3	TRUE	-1.673	0.04	TRUE	TRUE
chr13	44635511	44636412	intron	20410	ENSRNOT00000082439.1	Rab3gap1	TRUE	-1.682	0	TRUE	TRUE
chr13	44676663	44676951	intron	61256	ENSRNOT00000082439.1	Rab3gap1	TRUE	-1.682	0	TRUE	TRUE
chr13	48742740	48742900	Intergenic	52860	ENSRNOT00000079707.1	Nucks1	FALSE	1.159	0.012	FALSE	TRUE
chr13	48821712	48822563	intron	132177	ENSRNOT00000079707.1	Nucks1	FALSE	1.159	0.012	FALSE	TRUE
chr13	79921315	79921521	intron	-120049	ENSRNOT00000084058.1	Suco	FALSE	2.381	0	FALSE	TRUE
chr13	89465644	89466663	Intergenic	79029	ENSRNOT00000078402.1	Pcp4l1	TRUE	-5.617	0.033	TRUE	TRUE
chr13	89671525	89676364	Intergenic	-128762	ENSRNOT00000078402.1	Pcp4l1	TRUE	-5.617	0.033	TRUE	TRUE
chr13	89676918	89677382	Intergenic	-131968	ENSRNOT00000078402.1	Pcp4l1	TRUE	-5.617	0.033	TRUE	TRUE
chr13	99222931	99223383	intron	2146	ENSRNOT00000083608.1	Tmem63a	TRUE	-5.793	0.024	TRUE	TRUE
chr13	99229625	99230112	intron	8857	ENSRNOT00000083608.1	Tmem63a	TRUE	-5.793	0.024	TRUE	TRUE
chr13	99405563	99407351	Intergenic	-118570	ENSRNOT00000004780.4	Ephx1	FALSE	5.59	0.043	FALSE	TRUE
chr13	113921002	113922112	intron	-49460	ENSRNOT00000084320.1	Cr1l	FALSE	1.5	0.002	FALSE	TRUE
chr14	7696280	7697355	intron	78797	ENSRNOT00000088508.1	Slc10a6	FALSE	5.633	0.04	FALSE	TRUE
chr14	7701265	7702127	intron	83676	ENSRNOT00000088508.1	Slc10a6	FALSE	5.633	0.04	FALSE	TRUE
chr14	7703843	7705546	intron	86674	ENSRNOT00000088508.1	Slc10a6	FALSE	5.633	0.04	FALSE	TRUE
chr14	46689720	46689726	Intergenic	-31748	ENSRNOT00000087247.1	AABR07015081.2	FALSE	1.219	0	FALSE	TRUE
chr14	92949064	92949433	Intergenic	92934	ENSRNOT00000005432.5	AABR07016056.1	TRUE	-0.589	0.045	TRUE	TRUE
chr14	92950245	92951417	Intergenic	91351	ENSRNOT00000005432.5	AABR07016056.1	TRUE	-0.589	0.045	TRUE	TRUE
chr14	100448071	100448559	Intergenic	106263	ENSRNOT00000087976.1	Rn60_14_1002.4	FALSE	5.406	0.039	FALSE	TRUE
chr15	2865448	2865774	intron	100965	ENSRNOT00000017383.5	Kat6b	FALSE	5.611	0.041	FALSE	TRUE
chr15	2877091	2878408	intron	88827	ENSRNOT00000017383.5	Kat6b	FALSE	5.611	0.041	FALSE	TRUE
chr15	4928927	4929293	intron	22760	ENSRNOT00000082196.1	Nid2	FALSE	7.828	0	FALSE	TRUE
chr15	4942010	4943164	intron	9283	ENSRNOT00000082196.1	Nid2	FALSE	7.828	0	FALSE	TRUE
chr15	5795438	5795459	intron	99406	ENSRNOT00000024427.6	Cd99l2	FALSE	0.775	0	FALSE	TRUE
chr15	5796241	5796474	intron	98497	ENSRNOT00000024427.6	Cd99l2	FALSE	0.775	0	FALSE	TRUE
chr15	35010928	35011471	intron	-20848	ENSRNOT00000091757.1	Mcpt2	FALSE	5.849	0.027	FALSE	TRUE
chr15	61554506	61556404	intron	-136869	ENSRNOT00000015517.5	Kbtbd6	TRUE	-6.696	0.003	TRUE	TRUE
chr15	61677824	61678114	intron	-14355	ENSRNOT00000015517.5	Kbtbd6	TRUE	-6.696	0.003	TRUE	TRUE
chr15	61682395	61683201	intron	-9526	ENSRNOT00000015517.5	Kbtbd6	TRUE	-6.696	0.003	TRUE	TRUE
chr15	103780712	103780753	intron	146860	ENSRNOT00000013366.7	Abcc4	TRUE	-6.703	0.001	TRUE	TRUE
chr15	103806892	103807227	intron	120533	ENSRNOT00000013366.7	Abcc4	TRUE	-6.703	0.001	TRUE	TRUE
chr15	103879667	103880176	intron	47671	ENSRNOT00000013366.7	Abcc4	TRUE	-6.703	0.001	TRUE	TRUE
chr15	106271544	106272596	intron	14422	ENSRNOT00000072538.2	Ipo5	TRUE	-7.136	0.001	TRUE	TRUE
chr15	106404496	106404612	Intergenic	146906	ENSRNOT00000072538.2	Ipo5	TRUE	-7.136	0.001	TRUE	TRUE
chr16	11027151	11027778	Intergenic	-86046	ENSRNOT00000085414.1	Ldb3	TRUE	-6.687	0.001	TRUE	TRUE
chr16	36054317	36054369	intron	119286	ENSRNOT00000016474.3	Galnt7	TRUE	-8.225	0	TRUE	TRUE
chr17	6815402	6815775	intron	130969	ENSRNOT00000089138.1	RGD1311345	TRUE	-8.271	0	TRUE	TRUE
chr17	9778761	9779274	exon	12764	ENSRNOT00000090536.1	Rgs14	TRUE	-1.362	0.043	TRUE	TRUE
chr17	16331206	16331533	Intergenic	89006	ENSRNOT00000022669.6	Phf2	TRUE	-9.408	0	TRUE	TRUE
chr17	31355580	31357230	intron	-136700	ENSRNOT00000023611.6	Tubb2a	TRUE	-0.389	0.011	TRUE	TRUE
chr17	31572703	31573431	Intergenic	79962	ENSRNOT00000023611.6	Tubb2a	TRUE	-0.389	0.011	TRUE	TRUE
chr17	34818041	34818328	intron	85678	ENSRNOT00000079332.1	Irf4	FALSE	8.556	0	FALSE	TRUE
chr17	34987111	34988793	intron	-84090	ENSRNOT00000079332.1	Irf4	FALSE	8.556	0	FALSE	TRUE
chr17	49475920	49476456	Intergenic	-40239	ENSRNOT00000048929.3	Tgif2-ps1	TRUE	-5.589	0.035	TRUE	TRUE
chr17	49598214	49599545	Intergenic	82452	ENSRNOT00000048929.3	Tgif2-ps1	TRUE	-5.589	0.035	TRUE	TRUE
chr17	54957808	54959167	Intergenic	-107132	ENSRNOT00000086342.1	Zfp438	FALSE	6.187	0.013	FALSE	TRUE
chr17	54979851	54980416	Intergenic	-85486	ENSRNOT00000086342.1	Zfp438	FALSE	6.187	0.013	FALSE	TRUE
chr17	55011466	55012026	intron	-53873	ENSRNOT00000086342.1	Zfp438	FALSE	6.187	0.013	FALSE	TRUE
chr17	55246244	55247457	intron	54148	ENSRNOT00000064331.4	Svil	TRUE	-0.675	0.038	TRUE	TRUE
chr17	55348594	55349317	Intergenic	-2676	ENSRNOT00000025037.8	Svil	TRUE	-0.644	0.044	TRUE	TRUE
chr17	66067652	66068353	Intergenic	-112396	ENSRNOT00000023601.7	Ryr2	TRUE	-0.886	0.05	TRUE	TRUE
chr18	15542888	15543214	Intergenic	-2874	ENSRNOT00000022113.4	Ttr	TRUE	-2.236	0	TRUE	TRUE
chr18	15628225	15628374	intron	-88122	ENSRNOT00000022113.4	Ttr	TRUE	-2.236	0	TRUE	TRUE
chr18	15685113	15685196	intron	-144977	ENSRNOT00000022113.4	Ttr	TRUE	-2.236	0	TRUE	TRUE
chr18	26737791	26737999	Intergenic	-81016	ENSRNOT00000086729.1	Epb41l4a	FALSE	6.771	0.003	FALSE	TRUE
chr18	26762822	26762979	Intergenic	-106021	ENSRNOT00000086729.1	Epb41l4a	FALSE	6.771	0.003	FALSE	TRUE
chr18	59952836	59953546	intron	49338	ENSRNOT00000081014.1	Nars	TRUE	-6.842	0.002	TRUE	TRUE
chr18	60148937	60149024	Intergenic	-146451	ENSRNOT00000081014.1	Nars	TRUE	-6.842	0.002	TRUE	TRUE
chr18	86096523	86097794	intron	-18895	ENSRNOT00000076159.1	Rttn	FALSE	6.507	0.004	FALSE	TRUE
chr18	86179678	86179840	intron	63706	ENSRNOT00000076159.1	Rttn	FALSE	6.507	0.004	FALSE	TRUE
chr18	86214012	86214409	intron	98157	ENSRNOT00000076159.1	Rttn	FALSE	6.507	0.004	FALSE	TRUE
chr18	86215638	86216344	intron	99938	ENSRNOT00000076159.1	Rttn	FALSE	6.507	0.004	FALSE	TRUE
chr19	10587949	10588351	intron	-137964	ENSRNOT00000088048.1	Adgrg1	TRUE	-0.728	0	TRUE	TRUE
chr2	22293909	22294227	intron	91608	ENSRNOT00000065224.1	Thbs4	TRUE	-3.522	0.016	TRUE	TRUE
chr2	22379930	22380476	intron	5473	ENSRNOT00000065224.1	Thbs4	TRUE	-3.522	0.016	TRUE	TRUE
chr2	22462733	22463538	Intergenic	-77459	ENSRNOT00000065224.1	Thbs4	TRUE	-3.522	0.016	TRUE	TRUE
chr2	22504129	22505446	Intergenic	-119111	ENSRNOT00000065224.1	Thbs4	TRUE	-3.522	0.016	TRUE	TRUE
chr2	26778990	26779597	Intergenic	39386	ENSRNOT00000074326.1	AABR07007744.1	FALSE	1.298	0.023	FALSE	TRUE
chr2	26798463	26801141	Intergenic	18877	ENSRNOT00000074326.1	AABR07007744.1	FALSE	1.298	0.023	FALSE	TRUE
chr2	26943823	26943869	Intergenic	-125167	ENSRNOT00000074326.1	AABR07007744.1	FALSE	1.298	0.023	FALSE	TRUE
chr2	26944791	26945033	Intergenic	-126233	ENSRNOT00000074326.1	AABR07007744.1	FALSE	1.298	0.023	FALSE	TRUE
chr2	26945802	26946290	Intergenic	-127367	ENSRNOT00000074326.1	AABR07007744.1	FALSE	1.298	0.023	FALSE	TRUE
chr2	52257837	52258354	intron	-139078	ENSRNOT00000082614.1	Ccl28	TRUE	-5.388	0.05	TRUE	TRUE
chr2	52526122	52526686	intron	129231	ENSRNOT00000082614.1	Ccl28	TRUE	-5.388	0.05	TRUE	TRUE
chr2	154226746	154227100	Intergenic	107433	ENSRNOT00000057724.4	Plch1	TRUE	-1.471	0.003	TRUE	TRUE
chr2	154227707	154228122	Intergenic	106442	ENSRNOT00000057724.4	Plch1	TRUE	-1.471	0.003	TRUE	TRUE
chr2	154352181	154352587	intron	-18028	ENSRNOT00000057724.4	Plch1	TRUE	-1.471	0.003	TRUE	TRUE
chr2	154473337	154473405	Intergenic	-139015	ENSRNOT00000057724.4	Plch1	TRUE	-1.471	0.003	TRUE	TRUE
chr2	154477449	154478029	Intergenic	-143383	ENSRNOT00000057724.4	Plch1	TRUE	-1.471	0.003	TRUE	TRUE
chr2	196612130	196614990	intron	-86674	ENSRNOT00000077325.1	Setdb1	TRUE	-0.844	0.037	TRUE	TRUE
chr20	3388306	3388349	intron	-89492	ENSRNOT00000083617.1	Gnl1	TRUE	-8.367	0	TRUE	TRUE
chr20	3391106	3392882	intron	-93159	ENSRNOT00000083617.1	Gnl1	TRUE	-8.367	0	TRUE	TRUE
chr20	3433144	3433561	intron	-134517	ENSRNOT00000083617.1	Gnl1	TRUE	-8.367	0	TRUE	TRUE
chr20	4306357	4306606	intron	95129	ENSRNOT00000091468.1	Ppt2	TRUE	-6.949	0.001	TRUE	TRUE
chr20	4900369	4900938	intron	-93035	ENSRNOT00000087861.1	Vars	TRUE	-7.873	0	TRUE	TRUE
chr20	4927280	4928397	intron	-65850	ENSRNOT00000087861.1	Vars	TRUE	-7.873	0	TRUE	TRUE
chr20	7892428	7892552	Intergenic	125097	ENSRNOT00000084771.1	Zfp523	TRUE	-6.032	0.014	TRUE	TRUE
chr20	27469401	27469464	Intergenic	103221	ENSRNOT00000057939.3	Tet1	FALSE	6.187	0.013	FALSE	TRUE
chr20	46654980	46655463	intron	-12231	ENSRNOT00000065890.1	Sesn1	TRUE	-0.884	0.04	TRUE	TRUE
chr20	46735360	46735833	intron	68144	ENSRNOT00000065890.1	Sesn1	TRUE	-0.884	0.04	TRUE	TRUE
chr3	11298623	11299360	Intergenic	91451	ENSRNOT00000013546.6	Prrc2b	TRUE	-1.306	0	TRUE	TRUE
chr3	13401420	13402012	intron	124267	ENSRNOT00000082036.1	Pbx3	FALSE	7.827	0	FALSE	TRUE
chr3	93736972	93738002	intron	52130	ENSRNOT00000078616.1	Caprin1	FALSE	6.782	0.003	FALSE	TRUE
chr3	111597908	111598648	intron	-100807	ENSRNOT00000064395.4	Mga	TRUE	-5.722	0.027	TRUE	TRUE
chr3	111693756	111693838	Intergenic	-5288	ENSRNOT00000064395.4	Mga	TRUE	-5.722	0.027	TRUE	TRUE
chr3	117278268	117279020	Intergenic	-143027	ENSRNOT00000008857.7	Slc12a1	TRUE	-5.521	0.04	TRUE	TRUE
chr3	117279920	117280220	Intergenic	-141601	ENSRNOT00000008857.7	Slc12a1	TRUE	-5.521	0.04	TRUE	TRUE
chr3	117533107	117533723	Intergenic	111744	ENSRNOT00000008857.7	Slc12a1	TRUE	-5.521	0.04	TRUE	TRUE
chr3	154807640	154807861	intron	-102874	ENSRNOT00000079515.1	Ralgapb	TRUE	-0.52	0.05	TRUE	TRUE
chr3	154853772	154855596	Intergenic	-55940	ENSRNOT00000079515.1	Ralgapb	TRUE	-0.52	0.05	TRUE	TRUE
chr3	170569405	170570106	Intergenic	19443	ENSRNOT00000006991.5	Tfap2c	TRUE	-6.996	0	TRUE	TRUE
chr3	170662618	170663417	Intergenic	112705	ENSRNOT00000006991.5	Tfap2c	TRUE	-6.996	0	TRUE	TRUE
chr3	176430289	176430476	intron	117594	ENSRNOT00000009041.6	Chrna4	FALSE	8.327	0	FALSE	TRUE
chr3	176679487	176680594	Intergenic	-132064	ENSRNOT00000009041.6	Chrna4	FALSE	8.327	0	FALSE	TRUE
chr4	7356347	7356427	intron	-103437	ENSRNOT00000084777.1	Agap3	TRUE	-1.203	0.032	TRUE	TRUE
chr4	66293162	66293792	intron	-111827	ENSRNOT00000067097.2	Clec2l	FALSE	5.576	0.044	FALSE	TRUE
chr4	66296136	66296660	intron	-108906	ENSRNOT00000067097.2	Clec2l	FALSE	5.576	0.044	FALSE	TRUE
chr4	66297197	66297597	intron	-107907	ENSRNOT00000067097.2	Clec2l	FALSE	5.576	0.044	FALSE	TRUE
chr4	66300223	66301355	intron	-104515	ENSRNOT00000067097.2	Clec2l	FALSE	5.576	0.044	FALSE	TRUE
chr4	66303002	66304201	intron	-101703	ENSRNOT00000067097.2	Clec2l	FALSE	5.576	0.044	FALSE	TRUE
chr4	66307263	66307271	intron	-98037	ENSRNOT00000067097.2	Clec2l	FALSE	5.576	0.044	FALSE	TRUE
chr4	78422762	78423080	Intergenic	112544	ENSRNOT00000032802.4	Gimap9	TRUE	-0.605	0.033	TRUE	TRUE
chr4	114922945	114924923	intron	-100434	ENSRNOT00000089870.1	AC117925.4	TRUE	-8.497	0	TRUE	TRUE
chr4	117728547	117729281	Intergenic	85744	ENSRNOT00000036247.6	Dusp11	TRUE	-7.1	0	TRUE	TRUE
chr4	140247500	140247753	promoter-TSS	293	ENSRNOT00000041130.5	Itpr1	TRUE	-2.751	0	TRUE	TRUE
chr4	155600141	155600558	intron	-54560	ENSRNOT00000087883.1	Foxj2	TRUE	-2.594	0.002	TRUE	TRUE
chr4	168698550	168698884	Intergenic	-53414	ENSRNOT00000010289.4	Apold1	TRUE	-0.984	0.027	TRUE	TRUE
chr4	170661574	170662242	intron	121817	ENSRNOT00000072528.1	Wbp11	TRUE	-7.318	0	TRUE	TRUE
chr5	25433770	25435697	intron	149545	ENSRNOT00000090579.1	Pdp1	TRUE	-1.118	0	TRUE	TRUE
chr5	138148353	138149011	Intergenic	-15796	ENSRNOT00000083700.1	Slc2a1	TRUE	-1.833	0.015	TRUE	TRUE
chr5	147760574	147760937	intron	106828	ENSRNOT00000000139.7	Kpna6	FALSE	2.239	0.009	FALSE	TRUE
chr5	147985594	147985940	Intergenic	-118184	ENSRNOT00000000139.7	Kpna6	FALSE	2.239	0.009	FALSE	TRUE
chr5	156338198	156338923	Intergenic	123145	ENSRNOT00000067616.2	Ece1	TRUE	-0.917	0.005	TRUE	TRUE
chr5	159018872	159019080	exon	100195	ENSRNOT00000074074.3	Arhgef10l	FALSE	6.846	0.002	FALSE	TRUE
chr5	171549625	171549891	intron	98805	ENSRNOT00000072786.2	Arhgef16	TRUE	-7.036	0.001	TRUE	TRUE
chr6	3400111	3400567	intron	-45000	ENSRNOT00000084602.1	Map4k3	TRUE	-5.763	0.022	TRUE	TRUE
chr6	3401241	3401606	intron	-46084	ENSRNOT00000084602.1	Map4k3	TRUE	-5.763	0.022	TRUE	TRUE
chr6	3458269	3460054	Intergenic	-103822	ENSRNOT00000084602.1	Map4k3	TRUE	-5.763	0.022	TRUE	TRUE
chr6	7875147	7875693	intron	-85991	ENSRNOT00000007638.7	Abcg8	FALSE	5.572	0.044	FALSE	TRUE
chr6	7924980	7925677	intron	-36083	ENSRNOT00000007638.7	Abcg8	FALSE	5.572	0.044	FALSE	TRUE
chr6	11026643	11027229	intron	-135790	ENSRNOT00000020328.5	Mcfd2	TRUE	-5.399	0.049	TRUE	TRUE
chr6	41710228	41710998	Intergenic	132204	ENSRNOT00000084155.1	Lpin1	TRUE	-1.817	0.046	TRUE	TRUE
chr6	41711854	41712372	Intergenic	130704	ENSRNOT00000084155.1	Lpin1	TRUE	-1.817	0.046	TRUE	TRUE
chr6	41969295	41970164	intron	-126912	ENSRNOT00000084155.1	Lpin1	TRUE	-1.817	0.046	TRUE	TRUE
chr6	42299100	42299884	intron	118600	ENSRNOT00000006403.7	Rock2	FALSE	7.709	0	FALSE	TRUE
chr6	64814267	64815313	intron	24683	ENSRNOT00000078583.1	Nrcam	FALSE	7.061	0.001	FALSE	TRUE
chr6	64854094	64854377	intron	64128	ENSRNOT00000078583.1	Nrcam	FALSE	7.061	0.001	FALSE	TRUE
chr6	107573811	107574601	intron	-22577	ENSRNOT00000076055.2	Dnal1	FALSE	5.984	0.02	FALSE	TRUE
chr6	107666338	107666798	intron	69785	ENSRNOT00000076055.2	Dnal1	FALSE	5.984	0.02	FALSE	TRUE
chr6	107683787	107684247	Intergenic	87234	ENSRNOT00000076055.2	Dnal1	FALSE	5.984	0.02	FALSE	TRUE
chr6	108653880	108654315	intron	-91796	ENSRNOT00000061786.4	Eif3h	TRUE	-1.134	0.019	TRUE	TRUE
chr6	108815775	108816387	Intergenic	70188	ENSRNOT00000061786.4	Eif3h	TRUE	-1.134	0.019	TRUE	TRUE
chr6	129432412	129432678	Intergenic	-106435	ENSRNOT00000083626.1	Ak7	FALSE	6.604	0.005	FALSE	TRUE
chr6	129492172	129492418	exon	-46685	ENSRNOT00000083626.1	Ak7	FALSE	6.604	0.005	FALSE	TRUE
chr6	134945484	134947111	Intergenic	103431	ENSRNOT00000009556.7	Hsp90aa1	FALSE	1.208	0	FALSE	TRUE
chr6	134968478	134969427	intron	80776	ENSRNOT00000009556.7	Hsp90aa1	FALSE	1.208	0	FALSE	TRUE
chr6	135057127	135057173	intron	-7422	ENSRNOT00000009556.7	Hsp90aa1	FALSE	1.208	0	FALSE	TRUE
chr6	135756122	135756392	intron	73696	ENSRNOT00000080623.1	Cdc42bpb	TRUE	-2.467	0.014	TRUE	TRUE
chr6	135783292	135784253	intron	46181	ENSRNOT00000080623.1	Cdc42bpb	TRUE	-2.467	0.014	TRUE	TRUE
chr6	135831163	135831471	promoter-TSS	-1364	ENSRNOT00000080623.1	Cdc42bpb	TRUE	-2.467	0.014	TRUE	TRUE
chr6	135969780	135970041	Intergenic	-139957	ENSRNOT00000080623.1	Cdc42bpb	TRUE	-2.467	0.014	TRUE	TRUE
chr7	120980454	120981169	Intergenic	-98419	ENSRNOT00000056178.4	Fam227a	TRUE	-6.781	0.002	TRUE	TRUE
chr7	126542754	126543135	Intergenic	-99006	ENSRNOT00000078928.1	Ppara	TRUE	-6.196	0.01	TRUE	TRUE
chr7	126652424	126654866	intron	11695	ENSRNOT00000078928.1	Ppara	TRUE	-6.196	0.01	TRUE	TRUE
chr7	126734046	126734814	exon	92480	ENSRNOT00000078928.1	Ppara	TRUE	-6.196	0.01	TRUE	TRUE
chr7	129838910	129840440	Intergenic	-20437	ENSRNOT00000085835.1	Pim3	TRUE	-5.787	0.024	TRUE	TRUE
chr7	140428337	140430348	intron	-138546	ENSRNOT00000082699.1	Adcy6	FALSE	0.517	0.018	FALSE	TRUE
chr7	141365833	141366401	exon	19721	ENSRNOT00000077175.1	Asic1	FALSE	1.183	0.033	FALSE	TRUE
chr7	143985533	143986187	Intergenic	-18997	ENSRNOT00000018828.3	Sp7	TRUE	-6.192	0.01	TRUE	TRUE
chr8	22332697	22333213	intron	-17616	ENSRNOT00000084199.1	Kri1	TRUE	-5.75	0.025	TRUE	TRUE
chr8	23414981	23415347	intron	-24391	ENSRNOT00000071846.2	Anln	FALSE	6.914	0.002	FALSE	TRUE
chr8	61754695	61755315	Intergenic	-50690	ENSRNOT00000048318.5	Man2c1	FALSE	5.606	0.042	FALSE	TRUE
