chr,bin,start,end,mean_female,mean_male,female_cov,male_cov,num_cpg
chr1,151,8397079,8397081,0.277,0.045,18,20,4
chr1,153,8513900,8513902,0.585,0.822,28,75,13
chr1,154,8581465,8581467,0.652,0.844,7,9,3
chr1,155,8880288,8880290,0.357,0.638,12,20,7
chr1,158,9511788,9511790,0.556,0.25,56,146,22
chr1,162,9770257,9770259,0.565,0.36,9,32,4
chr1,163,9808457,9808459,0.698,0.896,11,7,4
chr1,169,9815093,9815095,0.551,0.763,14,20,5
chr1,170,9916414,9916416,0.915,0.678,10,11,4
chr1,175,10244021,10244023,0.947,0.626,6,5,3
chr1,176,10244863,10244865,0.948,0.6,8,27,4
chr1,182,10552204,10552206,0.569,0.775,24,55,11
chr1,184,11303402,11303404,0.644,0.87,13,22,5
chr1,186,11304706,11304708,0.671,0.875,9,37,4
chr1,189,11518432,11518434,0.887,0.647,11,24,6
chr1,190,11657793,11657795,0.863,0.628,37,96,12
chr1,191,11676113,11676115,0.26,0.486,7,18,4
chr1,192,11676854,11676856,0.459,0.676,7,28,3
chr1,193,11903554,11903556,0.371,0.141,57,11,11
chr1,194,11907631,11907633,0.293,0.53,257,329,5
chr1,195,11910383,11910385,0.377,0.585,2335,3091,53
chr1,196,11913014,11913016,0.414,0.62,619,898,11
chr1,205,12432251,12432253,0.274,0.474,24,107,8
chr1,206,12626508,12626510,0.745,0.53,14,42,10
chr1,207,12751517,12751519,0.611,0.392,9,22,5
chr1,208,12914566,12914568,0.649,0.373,23,63,10
chr1,210,12985343,12985345,0.557,0.868,41,60,22
chr1,211,12994419,12994421,0.722,0.935,6,13,4
chr1,212,13084969,13084971,0.359,0.585,31,48,10
chr1,213,13086902,13086904,0.551,0.799,26,49,10
chr1,214,13136347,13136349,0.582,0.345,77,171,21
chr1,218,13382338,13382340,0.423,0.684,11,34,5
chr1,219,13387426,13387428,0.611,0.889,14,29,6
chr1,222,13546688,13546690,0.62,0.368,14,37,7
chr1,225,14076118,14076120,0.305,0.504,9,27,3
chr1,227,14151937,14151939,0.964,0.621,5,9,4
chr1,229,14152870,14152872,0.954,0.747,10,49,4
chr1,232,14284120,14284122,0.841,0.55,13,49,7
chr1,233,14379411,14379413,0.744,0.474,7,25,3
chr1,234,14386967,14386969,0.676,0.462,21,41,6
chr1,236,14749282,14749284,0.488,0.265,32,81,12
chr1,237,14790292,14790294,0.783,0.508,35,46,7
chr1,238,14812298,14812300,0.601,0.827,15,48,7
chr1,240,15179612,15179614,0.472,0.66,7,40,3
chr1,243,15261858,15261860,0.316,0.635,44,122,13
chr1,244,15355795,15355797,0.858,0.622,14,62,9
chr1,245,15374088,15374090,0.757,0.477,30,39,6
chr1,247,15654485,15654487,0.442,0.726,34,57,10
chr1,249,15833345,15833347,0.614,0.823,17,37,5
chr1,253,15976867,15976869,0.702,0.916,10,23,4
chr1,255,15999212,15999214,0.901,0.691,10,37,5
chr1,256,16007225,16007227,0.562,0.759,12,56,6
chr1,257,16023728,16023730,0.634,0.851,42,101,9
chr1,258,16076297,16076299,0.646,0.863,10,35,4
chr1,259,16089095,16089097,0.539,0.768,16,64,8
chr1,261,16160346,16160348,0.817,0.595,14,52,4
chr1,264,16424363,16424365,0.565,0.8,64,153,23
chr1,265,16454921,16454923,0.819,0.544,29,98,13
chr1,266,16469622,16469624,0.925,0.664,13,30,5
chr1,268,16473975,16473977,0.489,0.138,9,19,3
chr1,269,16474974,16474976,0.587,0.802,10,31,4
chr1,272,16620538,16620540,0.447,0.239,5,22,3
chr1,274,16676615,16676617,0.445,0.672,4,14,3
chr1,278,17714336,17714338,0.735,0.928,3,3,3
chr1,279,17738187,17738189,0.629,0.847,15,41,5
chr1,280,17974402,17974404,0.783,0.569,21,64,6
chr1,281,17991072,17991074,0.605,0.828,19,30,3
chr1,282,17991685,17991687,0.695,0.907,8,40,4
chr1,283,18008568,18008570,0.875,0.629,39,102,14
chr1,284,18011697,18011699,0.605,0.817,18,51,5
chr1,285,18052194,18052196,0.857,0.64,12,16,5
chr1,287,18634101,18634103,0.826,0.574,14,33,7
chr1,288,18635295,18635297,0.838,0.564,25,34,11
chr1,289,18924706,18924708,0.666,0.87,10,39,6
chr1,290,18961002,18961004,0.511,0.776,48,86,11
chr1,292,19108288,19108290,0.67,0.86,9,23,3
chr1,294,19336886,19336888,0.394,0.752,80,98,20
chr1,296,19374345,19374347,0.141,0.375,26,49,8
chr1,297,19400288,19400290,0.286,0.475,35,41,7
chr1,301,19886627,19886629,0.731,0.94,19,54,10
chr1,303,20001503,20001505,0.577,0.852,30,41,8
chr1,304,20419934,20419936,0.599,0.874,41,82,18
chr1,308,20708176,20708178,0.589,0.855,12,15,4
chr1,312,20834911,20834913,0.676,0.46,10,30,3
chr1,313,20971976,20971978,0.47,0.669,55,70,10
chr1,317,21314563,21314565,0.98,0.753,13,30,4
chr1,318,21314987,21314989,0.841,0.562,5,14,3
chr1,319,21410641,21410643,0.942,0.733,21,48,9
chr1,320,21427994,21427996,0.71,0.928,16,32,5
chr1,321,21429785,21429787,0.688,0.951,31,52,14
chr1,325,21622487,21622489,0.348,0.572,45,101,14
chr1,326,21664593,21664595,0.832,0.623,23,97,9
chr1,330,21789720,21789722,0.882,0.55,8,33,5
chr1,332,21855389,21855391,0.83,0.47,10,18,5
chr1,333,21856299,21856301,0.87,0.541,11,45,6
chr1,335,22282218,22282220,0.383,0.656,17,34,5
chr1,337,22297907,22297909,0.54,0.333,11,12,4
chr1,338,22426744,22426746,0.875,0.665,3,7,3
chr1,342,22533270,22533272,0.659,0.872,9,18,3
chr1,343,22533692,22533694,0.677,0.875,29,27,7
chr1,346,22896539,22896541,0.616,0.826,26,35,6
chr1,347,22897466,22897468,0.495,0.748,7,25,3
chr1,348,23146615,23146617,0.584,0.368,6,10,3
chr1,349,23492018,23492020,0.665,0.893,6,21,3
chr1,352,23951060,23951062,0.555,0.312,31,111,15
chr1,355,23976062,23976064,0.441,0.639,21,25,4
chr1,356,24010656,24010658,0.574,0.761,20,43,4
chr1,358,24055215,24055217,0.42,0.681,18,58,7
chr1,359,24079230,24079232,0.472,0.161,16,22,3
chr1,360,24107654,24107656,0.629,0.384,15,42,7
chr1,362,24142117,24142119,0.487,0.279,5,21,3
chr1,363,24143328,24143330,0.557,0.879,15,40,9
chr1,364,24144083,24144085,0.692,0.967,11,16,5
chr1,365,24144879,24144881,0.781,0.987,5,14,3
chr1,366,24161671,24161673,0.851,0.526,41,93,19
chr1,367,24172973,24172975,0.798,0.582,21,37,7
chr1,368,24236479,24236481,0.847,0.637,20,83,8
chr1,369,24259546,24259548,0.549,0.769,20,75,8
chr1,370,24302692,24302694,0.606,0.843,19,48,4
chr1,373,24370863,24370865,0.501,0.734,36,72,9
chr1,375,24550011,24550013,0.846,0.622,24,64,7
chr1,378,24806760,24806762,0.882,0.664,15,9,8
chr1,379,24977510,24977512,0.407,0.596,11,37,4
chr1,386,25257769,25257771,0.621,0.818,7,12,3
chr1,387,25258310,25258312,0.568,0.825,3,5,3
chr1,388,25258817,25258819,0.534,0.832,5,11,3
chr1,390,25260064,25260066,0.526,0.852,3,9,3
chr1,391,25260886,25260888,0.571,0.861,9,22,3
chr1,395,25750221,25750223,0.909,0.691,9,13,5
chr1,397,25858010,25858012,0.836,0.579,9,25,3
chr1,403,26982371,26982373,0.475,0.769,9,13,3
chr1,405,27363578,27363580,0.643,0.897,10,21,4
chr1,410,28059485,28059487,0.552,0.761,15,46,9
chr1,411,28060969,28060971,0.508,0.695,35,60,10
chr1,417,28550198,28550200,0.785,0.538,22,67,9
chr1,418,28854055,28854057,0.376,0.572,62,95,14
chr1,419,28883948,28883950,0.851,0.604,17,44,5
chr1,422,28936872,28936874,0.43,0.196,42,110,17
chr1,423,29226622,29226624,0.154,0.435,7,4,3
chr1,424,29374624,29374626,0.484,0.711,12,31,4
chr1,428,29419136,29419138,0.594,0.815,15,30,6
chr1,436,29900693,29900695,0.493,1,9,24,5
chr1,440,30232152,30232154,0.906,0.669,9,15,3
chr1,443,30254390,30254392,0.585,0.78,7,18,4
chr1,444,30255511,30255513,0.569,0.764,11,23,5
chr1,445,30680529,30680531,0.48,0.222,18,58,9
chr1,446,30684800,30684802,0.352,0.146,4,9,3
chr1,447,30685170,30685172,0.638,0.385,3,30,3
chr1,449,30742867,30742869,0.847,0.628,17,36,6
chr1,451,31077816,31077818,0.534,0.231,8,13,3
chr1,454,31219313,31219315,0.774,0.985,11,10,4
chr1,458,31736861,31736863,0.398,0.782,118,154,25
chr1,459,31738124,31738126,0.609,0.879,26,67,7
chr1,460,31867426,31867428,0.448,0.676,22,39,4
chr1,461,31867861,31867863,0.429,0.708,7,19,3
chr1,462,31891703,31891705,0.718,0.418,8,20,3
chr1,463,31967205,31967207,0.386,0.179,4,17,3
chr1,464,32068210,32068212,0.411,0.665,45,122,15
chr1,465,32140697,32140699,0.78,0.468,21,68,6
chr1,468,32634685,32634687,0.312,0.058,8,24,4
chr1,469,33025866,33025868,0.884,0.645,9,48,6
chr1,470,33079602,33079604,0.291,0.503,12,19,4
chr1,471,33264181,33264183,0.359,0.58,12,48,4
chr1,473,33528440,33528442,0.515,0.749,6,24,3
chr1,474,33593630,33593632,0.399,0.629,41,100,9
chr1,476,34086276,34086278,0.713,0.908,24,69,6
chr1,478,34244219,34244221,0.549,0.786,35,41,8
chr1,479,34378738,34378740,0.738,0.521,25,90,9
chr1,480,34722738,34722740,0.583,0.901,24,103,9
chr1,481,34738778,34738780,0.613,0.824,7,30,4
chr1,483,34815577,34815579,0.454,0.769,34,77,7
chr1,484,35130713,35130715,0.607,0.816,27,80,11
chr1,485,35239875,35239877,0.416,0.637,23,74,6
chr1,486,35582577,35582579,0.581,0.776,17,30,4
chr1,488,36060977,36060979,0.539,0.757,24,88,11
chr1,490,36196593,36196595,0.689,0.478,9,17,3
chr1,491,36226656,36226658,0.62,0.808,10,42,3
chr1,492,36244884,36244886,0.661,0.456,3,13,3
chr1,494,36375599,36375601,0.537,0.766,10,26,3
chr1,495,36376078,36376080,0.563,0.79,22,23,5
chr1,497,36454017,36454019,0.18,0.409,12,57,4
chr1,498,36515040,36515042,0.557,0.781,54,146,17
chr1,501,36950989,36950991,0.631,0.852,6,22,4
chr1,502,37044626,37044628,0.517,0.731,19,33,7
chr1,503,37248743,37248745,0.747,0.96,21,70,7
chr1,508,37821953,37821955,0.707,0.92,6,24,4
chr1,511,37861784,37861786,0.58,0.789,8,23,3
chr1,512,37906252,37906254,0.32,0.525,34,115,10
chr1,516,37964064,37964066,0.65,0.932,10,16,5
chr1,520,38261264,38261266,0.47,0.832,3,16,3
chr1,522,38422132,38422134,0.632,0.819,7,22,3
chr1,527,38600199,38600201,0.273,0.746,19,42,7
chr1,529,38783181,38783183,0.878,0.633,4,11,3
chr1,532,39450399,39450401,0.553,0.812,7,12,3
chr1,533,39470911,39470913,0.52,0.831,31,58,17
chr1,535,39476635,39476637,0.624,0.842,6,20,5
chr1,537,39478019,39478021,0.682,0.889,13,18,6
chr1,538,39484576,39484578,0.694,0.886,3,17,3
chr1,539,39485435,39485437,0.594,0.825,4,25,3
chr1,540,39485830,39485832,0.493,0.754,23,75,13
chr1,541,39494408,39494410,0.63,0.868,45,54,16
chr1,544,39542394,39542396,0.981,0.761,31,94,19
chr1,548,39714762,39714764,0.605,0.832,19,40,7
chr1,549,39716254,39716256,0.639,0.836,10,41,4
chr1,552,40496141,40496143,0.476,0.252,41,100,13
chr1,553,40839467,40839469,0.698,0.479,24,76,9
chr1,556,41164016,41164018,0.269,0.595,8,10,3
chr1,557,41197785,41197787,0.597,0.833,12,37,4
chr1,558,41198474,41198476,0.595,0.792,18,24,5
chr1,562,41288108,41288110,0.692,0.891,10,18,3
chr1,563,41625819,41625821,0.899,0.684,5,17,4
chr1,564,41631935,41631937,0.874,0.654,13,25,4
chr1,566,41632816,41632818,0.902,0.682,21,25,5
chr1,567,41664526,41664528,0.767,0.539,43,86,11
chr1,568,41665257,41665259,0.762,0.525,6,16,3
chr1,569,41698512,41698514,0.615,0.821,89,164,26
chr1,570,41764801,41764803,0.781,0.533,13,34,6
chr1,572,41904456,41904458,0.737,0.939,8,25,3
chr1,574,42168083,42168085,0.459,0.712,11,24,6
chr1,575,42168780,42168782,0.415,0.633,4,9,3
chr1,586,42373690,42373692,0.639,0.832,9,13,4
chr1,587,42486876,42486878,0.437,0.715,17,31,6
chr1,588,42519067,42519069,0.635,0.861,25,71,9
chr1,589,42686988,42686990,0.474,0.73,8,25,4
chr1,590,42773071,42773073,0.896,0.69,29,68,8
chr1,595,43035716,43035718,0.648,0.84,4,13,3
chr1,597,43052053,43052055,0.659,0.859,15,24,3
chr1,602,43289706,43289708,0.674,0.865,10,16,3
chr1,603,43440793,43440795,0.802,0.58,19,47,8
chr1,605,43473779,43473781,0.279,0.618,3,12,3
chr1,607,43502275,43502277,0.64,0.868,11,21,4
chr1,608,43515331,43515333,0.596,0.832,18,15,5
chr1,612,43557439,43557441,0.694,0.91,9,24,5
chr1,613,43558280,43558282,0.654,0.915,27,85,13
chr1,614,43559200,43559202,0.655,0.919,12,31,4
chr1,615,43560271,43560273,0.706,0.91,6,18,3
chr1,617,43636365,43636367,0.77,0.541,19,34,4
chr1,620,43806625,43806627,0.637,0.851,13,34,5
chr1,623,43936652,43936654,0.573,0.357,9,39,4
chr1,624,43996814,43996816,0.696,0.477,27,53,8
chr1,625,44006487,44006489,0.567,0.776,9,55,7
chr1,627,44462388,44462390,0.526,0.728,11,23,3
chr1,628,44480272,44480274,0.654,0.446,8,29,3
chr1,630,44635791,44635793,0.92,0.616,25,42,7
chr1,634,44920344,44920346,0.892,0.661,45,80,14
chr1,636,45761524,45761526,0.775,0.571,32,66,6
chr1,639,45854965,45854967,0.66,0.876,8,36,5
chr1,640,46037469,46037471,0.478,0.685,33,71,7
chr1,641,46055673,46055675,0.347,0.547,23,111,10
chr1,642,46078625,46078627,0.301,0.589,16,39,5
chr1,643,46081382,46081384,0.487,0.248,15,44,6
chr1,644,46201451,46201453,0.738,0.497,62,156,16
chr1,645,46555995,46555997,0.457,0.658,30,54,10
chr1,646,46558938,46558940,0.762,0.533,35,93,11
chr1,647,46570569,46570571,0.767,0.546,17,29,6
chr1,648,46753634,46753636,0.675,0.904,18,33,6
chr1,650,46786215,46786217,0.674,0.455,45,104,9
chr1,652,47006118,47006120,0.369,0.626,13,45,5
chr1,653,47072212,47072214,0.65,0.917,16,49,5
chr1,654,47329163,47329165,0.611,0.808,27,60,9
chr1,656,47355044,47355046,0.777,0.512,32,111,14
chr1,657,47408037,47408039,0.72,0.921,26,40,4
chr1,659,47506953,47506955,0.829,0.613,12,19,5
chr1,661,47538283,47538285,0.765,0.55,21,48,6
chr1,662,47615070,47615072,0.835,0.61,28,75,7
chr1,663,47673041,47673043,0.807,0.58,21,59,7
chr1,664,47910303,47910305,0.545,0.785,11,28,5
chr1,667,48002346,48002348,0.485,0.277,3,7,3
chr1,671,48206309,48206311,0.968,0.68,13,23,5
chr1,672,48401100,48401102,0.893,0.677,9,19,4
chr1,674,48624547,48624549,0.289,0.581,7,21,6
chr1,676,48627296,48627298,0.28,0.538,9,21,5
chr1,678,48638202,48638204,0.495,0.775,9,32,5
chr1,679,48672284,48672286,0.81,0.606,16,50,5
chr1,681,48987730,48987732,0.253,0.534,8,28,3
chr1,683,49491185,49491187,0.62,0.818,11,49,6
chr1,684,49667195,49667197,0.703,0.895,6,23,4
chr1,686,49730219,49730221,0.685,0.896,9,17,4
chr1,687,49731739,49731741,0.69,0.906,16,29,6
chr1,688,50086970,50086972,0.778,0.559,6,21,5
chr1,690,50498460,50498462,0.56,0.782,12,23,4
chr1,691,50555753,50555755,0.461,0.676,14,21,4
chr1,694,50741995,50741997,0.293,0.499,35,93,11
chr1,696,50753084,50753086,0.937,0.733,9,37,3
chr1,699,51081394,51081396,0.711,0.905,29,50,6
chr1,700,51162330,51162332,0.667,0.464,5,21,4
chr1,701,51381444,51381446,0.753,0.491,18,29,7
chr1,702,51503680,51503682,0.673,0.867,9,19,3
chr1,705,51619382,51619384,0.681,0.962,20,54,8
chr1,708,51877600,51877602,0.645,0.856,4,25,3
chr1,710,52369431,52369433,0.844,0.544,9,22,4
chr1,712,52534167,52534169,0.442,0.643,45,74,8
chr1,715,52594728,52594730,0.713,0.485,5,11,3
chr1,717,52645730,52645732,0.629,0.837,20,49,5
chr1,718,52685209,52685211,0.432,0.675,39,104,14
chr1,719,52702505,52702507,0.5,0.765,30,59,9
chr1,720,52828209,52828211,0.572,0.79,22,47,5
chr1,722,52961386,52961388,0.4,0.159,5,10,3
chr1,723,53093495,53093497,0.557,0.349,16,28,4
chr1,724,53117616,53117618,0.555,0.743,13,36,3
chr1,725,53221116,53221118,0.455,0.657,4,10,4
chr1,726,53234824,53234826,0.544,0.782,7,31,5
chr1,727,53251438,53251440,0.681,0.884,64,111,14
chr1,728,53294298,53294300,0.74,0.535,11,35,4
chr1,729,53339522,53339524,0.456,0.701,69,134,18
chr1,730,53349275,53349277,0.704,0.366,23,46,7
chr1,731,53379838,53379840,0.62,0.371,63,163,17
chr1,732,53426986,53426988,0.569,0.818,7,13,4
chr1,733,53839678,53839680,0.336,0.107,9,28,5
chr1,734,53926265,53926267,0.414,0.702,12,18,5
chr1,735,53926884,53926886,0.425,0.737,8,7,3
chr1,737,54005182,54005184,0.608,0.814,12,26,5
chr1,738,54397450,54397452,0.886,0.683,14,28,4
chr1,740,54663641,54663643,0.497,0.696,47,118,9
chr1,741,54664712,54664714,0.629,0.834,46,116,12
chr1,747,54839664,54839666,0.685,0.88,6,3,3
chr1,751,55346575,55346577,0.506,0.732,8,11,3
chr1,753,56241137,56241139,0.534,0.784,20,63,8
chr1,756,56355020,56355022,0.653,0.877,27,45,8
chr1,757,56489145,56489147,0.821,0.561,64,122,17
chr1,758,56493537,56493539,0.409,0.699,17,29,5
chr1,759,56533466,56533468,0.248,0.456,89,98,21
chr1,762,56676737,56676739,0.617,0.844,10,16,3
chr1,763,56680350,56680352,0.821,0.564,56,153,16
chr1,765,56710660,56710662,0.582,0.806,13,51,8
chr1,768,56950420,56950422,0.544,0.287,19,82,9
chr1,769,56966622,56966624,0.528,0.235,24,34,4
chr1,772,57294007,57294009,0.918,0.706,5,16,3
chr1,774,57346892,57346894,0.592,0.844,12,27,4
chr1,775,57435083,57435085,0.757,0.949,25,69,7
chr1,776,57488431,57488433,0.529,0.279,5,11,3
chr1,779,57552036,57552038,0.858,0.513,5,17,3
chr1,780,57553975,57553977,0.305,0.569,35,91,12
chr1,782,57598610,57598612,0.722,0.936,3,3,3
chr1,783,57627081,57627083,0.662,0.89,5,14,3
chr1,784,57627731,57627733,0.637,0.897,4,15,3
chr1,787,57732047,57732049,0.694,0.912,12,22,3
chr1,788,57732882,57732884,0.509,0.734,26,58,11
chr1,789,57812373,57812375,0.46,0.24,27,74,12
chr1,791,58013455,58013457,0.47,0.711,32,101,12
chr1,793,58201292,58201294,0.464,0.665,7,20,3
chr1,794,58201881,58201883,0.447,0.742,4,15,3
chr1,801,58598216,58598218,0.586,0.817,4,7,3
chr1,802,58599065,58599067,0.585,0.825,8,23,3
chr1,806,59128445,59128447,0.475,0.767,16,31,5
chr1,809,59236955,59236957,0.37,0.58,6,7,3
chr1,816,59385968,59385970,0.306,0.766,12,40,9
chr1,818,59439499,59439501,0.388,0.644,14,33,6
chr1,820,59440939,59440941,0.536,0.918,5,14,3
chr1,821,59442607,59442609,0.706,0.938,7,15,4
chr1,823,59573321,59573323,0.564,0.906,7,9,5
chr1,829,59728136,59728138,0.263,0.62,11,32,4
chr1,834,60101784,60101786,0.673,0.886,14,36,6
chr1,839,61147014,61147016,0.509,0.723,6,6,3
chr1,841,61149074,61149076,0.525,0.746,24,47,8
chr1,844,61260417,61260419,0.535,0.807,15,36,6
chr1,846,61338456,61338458,0.974,0.512,8,20,4
chr1,850,61399823,61399825,0.619,0.838,11,38,5
chr1,854,61424965,61424967,0.478,0.754,11,16,5
chr1,858,61483876,61483878,0.492,0.711,13,25,6
chr1,859,61485551,61485553,0.32,0.569,19,50,9
chr1,861,61518047,61518049,0.51,0.792,7,16,4
chr1,862,61521753,61521755,0.753,0.47,34,66,11
chr1,864,61748072,61748074,0.394,0.729,14,46,6
chr1,865,61749077,61749079,0.587,0.923,16,31,6
chr1,868,62044974,62044976,0.59,0.82,12,13,4
chr1,869,62046010,62046012,0.634,0.855,5,8,3
chr1,873,62137801,62137803,0.599,0.949,5,8,3
chr1,875,62206726,62206728,0.77,0.46,14,26,4
chr1,876,62267885,62267887,0.318,0.104,10,38,4
chr1,883,62380489,62380491,0.555,0.254,14,29,3
chr1,884,62382360,62382362,0.275,0.561,6,14,3
chr1,885,62383194,62383196,0.516,0.966,9,33,4
chr1,886,62574693,62574695,0.5,0.755,7,16,4
chr1,887,62577177,62577179,0.346,0.058,45,151,23
chr1,889,62579603,62579605,0.603,0.854,3,10,3
chr1,890,62580180,62580182,0.702,0.953,7,18,3
chr1,892,62803267,62803269,0.541,0.727,3,26,3
chr1,897,63629304,63629306,0.65,0.845,3,11,3
chr1,898,63841163,63841165,0.779,0.536,5,21,3
chr1,903,64125978,64125980,0.528,0.791,7,29,4
chr1,905,64148493,64148495,0.284,0.494,4,27,4
chr1,908,64175724,64175726,0.195,0.612,13,14,4
chr1,911,64226643,64226645,0.844,0.636,9,18,3
chr1,912,64227181,64227183,0.842,0.635,6,7,3
chr1,914,64331137,64331139,0.497,0.7,7,17,3
chr1,917,64436382,64436384,0.559,0.796,11,21,3
chr1,918,64445954,64445956,0.309,0.533,14,30,4
chr1,919,64540280,64540282,0.457,0.659,21,25,5
chr1,921,64638041,64638043,0.612,0.832,14,36,6
chr1,929,64696897,64696899,0.568,0.756,6,14,4
chr1,930,64720908,64720910,0.231,0.732,12,56,7
chr1,931,64723122,64723124,0.597,0.981,4,30,4
chr1,939,65275306,65275308,0.647,0.852,6,24,3
chr1,941,65277400,65277402,0.595,0.885,3,11,3
chr1,944,65292621,65292623,0.495,0.736,6,10,4
chr1,946,65294547,65294549,0.571,0.764,23,57,9
chr1,951,65602739,65602741,0.659,0.274,23,20,5
chr1,953,65638313,65638315,0.811,0.569,18,32,5
chr1,956,65705718,65705720,0.606,0.057,13,26,4
chr1,958,65780686,65780688,0.524,0.901,6,23,3
chr1,960,66255843,66255845,0.087,0.742,4,10,3
chr1,963,66891620,66891622,0.328,0.564,21,34,6
chr1,964,67008500,67008502,0.818,0.598,8,14,4
chr1,977,69310591,69310593,0.304,0.045,48,129,21
chr1,978,69311525,69311527,0.577,0.808,71,85,10
chr1,980,69563711,69563713,0.553,0.752,8,22,3
chr1,981,69564834,69564836,0.568,0.754,14,20,3
chr1,982,69610299,69610301,0.569,0.773,14,35,4
chr1,986,69837509,69837511,0.718,0.92,8,14,4
chr1,989,69852898,69852900,0.598,0.392,13,13,3
chr1,990,69854726,69854728,0.582,0.834,10,43,5
chr1,995,70020829,70020831,0.603,0.806,13,27,4
chr1,996,70022849,70022851,0.458,0.185,79,82,17
chr1,998,70024947,70024949,0.728,0.391,18,18,4
chr1,1000,70056878,70056880,0.542,0.33,18,31,6
chr1,1002,70140066,70140068,0.42,0.203,32,107,10
chr1,1009,70311711,70311713,0.634,0.824,9,24,4
chr1,1016,71112661,71112663,0.533,0.326,16,15,4
chr1,1017,71136508,71136510,0.455,0.717,12,26,4
chr1,1018,71177123,71177125,0.555,0.819,13,30,8
chr1,1019,71178021,71178023,0.118,0.627,9,18,3
chr1,1021,71200534,71200536,0.569,0.337,45,106,14
chr1,1024,71333094,71333096,0.665,0.449,15,21,4
chr1,1025,71400926,71400928,0.642,0.395,8,17,3
chr1,1027,71724571,71724573,0.973,0.729,5,9,4
chr1,1029,71915448,71915450,0.706,0.5,11,26,3
chr1,1032,71958012,71958014,0.805,0.596,4,5,3
chr1,1035,71996530,71996532,0.753,0.476,6,15,3
chr1,1036,72085468,72085470,0.927,0.673,3,11,3
